layers, cross_val_score, training_score, testing_score
1,0.471071303095, 0.470457697642, 0.474889981879
2,0.522218774024, 0.525714285714, 0.521227025628
3,0.517385755917, 0.513231622746, 0.514755371473
4,0.524384917821, 0.530540915395, 0.531711105359
5,0.516224380025, 0.513398058252, 0.521097592545
6,0.521496405125, 0.529098474341, 0.538829924929
7,0.515333959629, 0.517669902913, 0.523945120373
8,0.515894897961, 0.524493758669, 0.526145482785
9,0.506054457751, 0.514618585298, 0.521874191043
10,0.517124034934, 0.511955617198, 0.517344033135
11,0.492143261469, 0.487766990291, 0.492363448097
12,0.488670410352, 0.504687933426, 0.503494693244
13,0.511743806839, 0.51040221914, 0.511390111312
14,0.483832220991, 0.482995839112, 0.485244628527
15,0.502844985811, 0.494757281553, 0.497152472172
16,0.500208252497, 0.503356449376, 0.505565622573
17,0.493312243806, 0.490152565881, 0.493787212011
18,0.485389249875, 0.491595006935, 0.494434377427
19,0.481932436235, 0.516726768377, 0.512037276728
20,0.490666888573, 0.482995839112, 0.486021227026
21,0.489500673536, 0.484382801664, 0.48744499094
22,0.48221717062, 0.48133148405, 0.486927258607
23,0.457636416547, 0.4773370319, 0.481232202951
24,0.448794918705, 0.406546463245, 0.408102511002
25,0.464738706616, 0.475894590846, 0.480196738286
26,0.437854216469, 0.468848821082, 0.472042454051
27,0.454772760392, 0.419417475728, 0.426093709552
28,0.453293047652, 0.471123439667, 0.473854517215
29,0.412311334423, 0.406546463245, 0.408102511002
30,0.445575606269, 0.422357836338, 0.420786953145
