k, cross_val_score, training_score, testing_score
1,0.613322047789, 0.949237170596, 0.610406419881
2,0.598560859192, 0.800998613037, 0.598110276987
3,0.61814141808, 0.774313453537, 0.614289412374
4,0.619311863356, 0.743411927878, 0.618172404867
5,0.623249615052, 0.7279889043, 0.621149365778
6,0.618635086764, 0.71278779473, 0.622831995858
7,0.617685287646, 0.703578363384, 0.622573129692
8,0.620019471927, 0.693259361997, 0.618560704116
9,0.614978903471, 0.686158113731, 0.61247734921
10,0.612758978462, 0.679778085992, 0.610406419881
11,0.611087727911, 0.673009708738, 0.606393994305
12,0.611030007787, 0.669625520111, 0.608723789801
13,0.607879305177, 0.662746185853, 0.605099663474
14,0.606496029446, 0.659251040222, 0.606005695056
15,0.603225534236, 0.655256588072, 0.599663473984
16,0.599619680436, 0.652482662968, 0.600698938649
17,0.599954030947, 0.648987517337, 0.602252135646
18,0.59634593389, 0.645936199723, 0.598498576236
19,0.593851496692, 0.639944521498, 0.596298213823
20,0.593458220451, 0.635561719834, 0.591638622832
21,0.591967145454, 0.632066574202, 0.59448615066
22,0.592135934772, 0.628349514563, 0.592674087497
23,0.589696517314, 0.627517337032, 0.590991457417
24,0.589526990876, 0.625020804438, 0.589438260419
25,0.587584599608, 0.62374479889, 0.586720165674
26,0.585923340612, 0.621470180305, 0.584260937096
27,0.582646764566, 0.619251040222, 0.584778669428
28,0.583865358254, 0.620083217753, 0.586590732591
29,0.581149013152, 0.616865464632, 0.586331866425
30,0.581757846243, 0.618030513176, 0.586331866425
31,0.579864910087, 0.613925104022, 0.581025110018
32,0.578255696087, 0.612649098474, 0.581154543101
33,0.577367783873, 0.610596393897, 0.578436448356
34,0.57681339786, 0.609764216366, 0.577400983691
35,0.575763468369, 0.609986130374, 0.579083613772
36,0.57454573165, 0.60959778086, 0.578048149107
37,0.576048517511, 0.60826629681, 0.57817758219
38,0.573220854053, 0.607045769764, 0.577400983691
39,0.573274263867, 0.604105409154, 0.574941755113
40,0.572886540507, 0.601775312067, 0.5727413927
41,0.573608975964, 0.602607489598, 0.574165156614
42,0.572943732546, 0.601165048544, 0.571317628786
43,0.572609631194, 0.59839112344, 0.568858400207
44,0.57099736908, 0.599278779473, 0.569893864872
45,0.569834811835, 0.596893203883, 0.567822935542
46,0.569333887357, 0.596782246879, 0.570282164121
47,0.567394945819, 0.595006934813, 0.569505565623
48,0.565453116473, 0.596171983356, 0.571964794201
49,0.564846459301, 0.593897364771, 0.566269738545
50,0.564904174928, 0.5946740638, 0.570411597204
51,0.564960037254, 0.593952843273, 0.570799896454
52,0.565126301573, 0.592399445215, 0.570152731038
53,0.564461164126, 0.592843273232, 0.569893864872
54,0.562740248925, 0.594174757282, 0.570152731038
55,0.560744486696, 0.59145631068, 0.567175770127
56,0.561187881484, 0.591567267684, 0.569505565623
57,0.559466023965, 0.590957004161, 0.564457675382
58,0.561184779423, 0.587018030513, 0.564198809216
59,0.561075081647, 0.586574202497, 0.564716541548
60,0.560850794598, 0.584576976422, 0.563681076883
61,0.560133243295, 0.581581137309, 0.559668651307
62,0.558968507898, 0.579583911234, 0.558503753559
63,0.559187101734, 0.580471567268, 0.558374320476
64,0.557354430568, 0.579583911234, 0.558633186643
65,0.558076141689, 0.577420249653, 0.557597721978
66,0.555911823205, 0.578252427184, 0.557986021227
67,0.555249627293, 0.578030513176, 0.557597721978
68,0.554416844258, 0.57680998613, 0.555915091897
69,0.555077575944, 0.57680998613, 0.554879627233
70,0.554304069932, 0.577364771151, 0.557986021227
71,0.554249045117, 0.576144244105, 0.558374320476
72,0.550530032974, 0.576643550624, 0.558633186643
73,0.552972058157, 0.574313453537, 0.555915091897
74,0.553137809046, 0.573314840499, 0.557338855812
75,0.55347188183, 0.571927877947, 0.555397359565
76,0.552532291213, 0.571872399445, 0.555785658814
77,0.552749190735, 0.570651872399, 0.553973595651
78,0.552529677645, 0.569930651872, 0.555138493399
79,0.552975683678, 0.568821081831, 0.552808697903
80,0.552749488663, 0.568488210818, 0.550737768574
81,0.554750979165, 0.567600554785, 0.551773233238
82,0.555637934716, 0.566768377254, 0.549831736992
83,0.555249165466, 0.564771151179, 0.549443437743
84,0.554415528431, 0.565104022191, 0.551255500906
85,0.55364248682, 0.565048543689, 0.550220036241
86,0.554140179972, 0.566490984743, 0.550737768574
87,0.553917984469, 0.565769764216, 0.549184571576
88,0.554304722172, 0.566047156727, 0.548537406161
89,0.554639049302, 0.565381414702, 0.547501941496
90,0.554470932094, 0.564771151179, 0.54724307533
91,0.55364070972, 0.565825242718, 0.547372508413
92,0.554027815204, 0.566490984743, 0.549572870826
93,0.553581734135, 0.565214979196, 0.546595909915
94,0.553247936345, 0.566490984743, 0.546854776081
95,0.553080561219, 0.567489597781, 0.547631374579
96,0.552584279316, 0.566102635229, 0.546854776081
97,0.55341333395, 0.567378640777, 0.545948744499
98,0.552972673161, 0.567267683773, 0.54556044525
99,0.552084484436, 0.568432732316, 0.545819311416
100,0.553807820963, 0.567101248266, 0.544136681336
