layers, cross_val_score, training_score, testing_score
1,0.41270816871, 0.418252427184, 0.418327724566
2,0.481390455636, 0.481276005548, 0.485115195444
3,0.476728880021, 0.474951456311, 0.480714470619
4,0.489160761797, 0.493259361997, 0.499352834585
5,0.504352866305, 0.511234396671, 0.516438001553
6,0.500738208288, 0.503134535368, 0.495728708258
7,0.501961212808, 0.499084604716, 0.491457416516
8,0.494802054022, 0.495256588072, 0.491716282682
9,0.497462770381, 0.501914008322, 0.499352834585
10,0.500082036009, 0.49653259362, 0.48537406161
11,0.482164266902, 0.497309292649, 0.493787212011
12,0.493920668697, 0.501414701803, 0.492751747347
13,0.503515439722, 0.502690707351, 0.495210975925
14,0.509341163384, 0.500582524272, 0.499611700751
15,0.496798102667, 0.500859916782, 0.501812063163
16,0.500457814006, 0.500582524272, 0.49456381051
17,0.508952492869, 0.52160887656, 0.524333419622
18,0.507783698691, 0.518723994452, 0.516179135387
19,0.502789474762, 0.494979195562, 0.494693243593
20,0.497404735454, 0.499029126214, 0.493269479679
21,0.524431188709, 0.529653259362, 0.528993010614
22,0.506962453673, 0.504854368932, 0.512166709811
23,0.509073932105, 0.511012482663, 0.511519544396
24,0.504678687326, 0.504022191401, 0.497540771421
25,0.506228211939, 0.50080443828, 0.500258866166
26,0.515547472958, 0.5146740638, 0.508542583484
27,0.502067620268, 0.501636615811, 0.499352834585
28,0.51277565362, 0.515284327323, 0.510484079731
29,0.516493987192, 0.516948682386, 0.516438001553
30,0.512014339243, 0.512399445215, 0.511260678229
31,0.521601002565, 0.523384188627, 0.530416774528
32,0.512677368357, 0.51705963939, 0.519803261714
33,0.514494235933, 0.521775312067, 0.516438001553
34,0.515719559645, 0.511234396671, 0.512037276728
35,0.510557824687, 0.515783633842, 0.5183794978
36,0.510000416246, 0.504244105409, 0.508672016567
37,0.52292465606, 0.525048543689, 0.521615324877
38,0.510546532679, 0.513619972261, 0.515014237639
39,0.512844698827, 0.509403606103, 0.507765984986
40,0.521588982411, 0.522330097087, 0.519026663215
41,0.521433582128, 0.525048543689, 0.522133057209
42,0.522820828621, 0.522718446602, 0.520450427129
43,0.521325366569, 0.522718446602, 0.526145482785
44,0.522271543234, 0.519056865465, 0.516179135387
45,0.522218774024, 0.525714285714, 0.521227025628
46,0.505392710162, 0.513897364771, 0.51087237898
47,0.519383811966, 0.520499306519, 0.515920269221
48,0.523536570146, 0.524993065187, 0.520191560963
49,0.515771105468, 0.522496532594, 0.518767797049
50,0.523873895534, 0.524049930652, 0.531452239192
51,0.519555847049, 0.525104022191, 0.52886357753
52,0.517936341976, 0.516061026352, 0.5183794978
53,0.523708881919, 0.521386962552, 0.522391923376
54,0.522166791465, 0.522829403606, 0.527957545949
55,0.509675000205, 0.506685159501, 0.501294330831
56,0.521881121056, 0.524327323162, 0.521356458711
57,0.523818585137, 0.526269070735, 0.525368884287
58,0.523322980472, 0.524327323162, 0.525368884287
59,0.522651092871, 0.51600554785, 0.520838726378
60,0.523824229457, 0.524327323162, 0.526663215118
61,0.520547085614, 0.521276005548, 0.52006212788
62,0.518823756409, 0.521220527046, 0.519026663215
63,0.519776720459, 0.528432732316, 0.527310380533
64,0.517488592015, 0.513120665742, 0.511907843645
65,0.520491208401, 0.520388349515, 0.516049702304
66,0.525872975225, 0.52665742025, 0.531452239192
67,0.510833675876, 0.517004160888, 0.519932694797
68,0.525653076137, 0.525714285714, 0.525239451204
69,0.520048302636, 0.526102635229, 0.519673828631
70,0.518224131233, 0.526601941748, 0.531193373026
71,0.522269796832, 0.521109570042, 0.520579860212
72,0.519649546963, 0.516948682386, 0.516049702304
73,0.521992885815, 0.521553398058, 0.520838726378
74,0.522714698458, 0.525936199723, 0.531322806109
75,0.524485424914, 0.526490984743, 0.528475278281
76,0.522321244518, 0.525048543689, 0.531193373026
77,0.51899636028, 0.522274618585, 0.527957545949
78,0.521324585821, 0.52721220527, 0.527310380533
79,0.521103684558, 0.523273231623, 0.528216412115
80,0.522647914283, 0.520610263523, 0.522262490293
81,0.522610574402, 0.521442441054, 0.52342738804
82,0.522774384056, 0.526435506241, 0.529769609112
83,0.522261058208, 0.522108183079, 0.525886616619
84,0.518328093043, 0.522552011096, 0.52381568729
85,0.523043496738, 0.527378640777, 0.526663215118
86,0.525268404579, 0.525547850208, 0.53261713694
87,0.525711105257, 0.522274618585, 0.521485891794
88,0.524379321164, 0.526879334258, 0.530157908361
89,0.520828385566, 0.52, 0.524203986539
90,0.521047940555, 0.520832177531, 0.522780222625
91,0.523428443913, 0.522385575589, 0.516567434636
92,0.521163532093, 0.520776699029, 0.527569246699
93,0.521264683434, 0.526158113731, 0.524851151954
94,0.520654133122, 0.519889042996, 0.519414962464
95,0.524105698445, 0.519778085992, 0.525627750453
96,0.523490897146, 0.519500693481, 0.520450427129
97,0.524431082197, 0.525436893204, 0.532099404608
98,0.524765038379, 0.523495145631, 0.52006212788
99,0.525650927767, 0.527711511789, 0.531581672275
100,0.525936241565, 0.525159500693, 0.531452239192
