n_estimators, cross_val_score, training_score, testing_score
10,0.718983311288, 0.911770563633, 0.722583643123
20,0.720174966139, 0.911770563633, 0.724907063197
30,0.721768195607, 0.911770563633, 0.722583643123
40,0.720774951882, 0.911770563633, 0.725836431227
50,0.719580524819, 0.911770563633, 0.725371747212
60,0.719382905753, 0.911770563633, 0.731412639405
70,0.722767379785, 0.911770563633, 0.723513011152
80,0.723365385377, 0.911770563633, 0.730483271375
90,0.721374145565, 0.911770563633, 0.718866171004
100,0.71878331604, 0.911770563633, 0.721189591078
110,0.719978535164, 0.911770563633, 0.726301115242
120,0.716394065884, 0.911770563633, 0.728624535316
130,0.719979327224, 0.911770563633, 0.728624535316
140,0.722370557531, 0.911770563633, 0.731412639405
150,0.721969774976, 0.911770563633, 0.726301115242
160,0.722965394882, 0.911770563633, 0.726301115242
170,0.716792868288, 0.911770563633, 0.727230483271
180,0.71738968579, 0.911770563633, 0.73373605948
190,0.718585696974, 0.911770563633, 0.725836431227
200,0.720973759039, 0.911770563633, 0.73187732342
210,0.718186102508, 0.911770563633, 0.723977695167
220,0.722766983755, 0.911770563633, 0.73280669145
230,0.721969774976, 0.911770563633, 0.725836431227
240,0.71958171291, 0.911770563633, 0.73280669145
250,0.720177738351, 0.911770563633, 0.73094795539
260,0.721969378945, 0.911770563633, 0.727230483271
270,0.720976135221, 0.911770563633, 0.724907063197
280,0.724162198126, 0.911770563633, 0.73094795539
290,0.718984103348, 0.911770563633, 0.725836431227
300,0.722766587725, 0.911770563633, 0.722118959108
310,0.72316657822, 0.911770563633, 0.73187732342
320,0.72316578616, 0.911770563633, 0.726765799257
330,0.721372561444, 0.911770563633, 0.725371747212
340,0.721572160662, 0.911770563633, 0.726301115242
350,0.718585696974, 0.911770563633, 0.728624535316
360,0.723364197286, 0.911770563633, 0.731412639405
370,0.720578916937, 0.911770563633, 0.726301115242
380,0.720377733598, 0.911770563633, 0.728159851301
390,0.721374145565, 0.911770563633, 0.726301115242
400,0.723564588564, 0.911770563633, 0.725371747212
410,0.7209745511, 0.911770563633, 0.725836431227
420,0.723962202878, 0.911770563633, 0.727695167286
