max_depth, cross_val_score, training_score, testing_score
1,0.465122499587, 0.482884882108, 0.488221589438
2,0.445182508596, 0.484105409154, 0.486409526275
3,0.418682228215, 0.443384188627, 0.438001553197
4,0.429114994604, 0.332704576976, 0.328760031064
5,0.435074295134, 0.38507628294, 0.362412632669
6,0.480119413285, 0.546019417476, 0.508283717318
7,0.491253370671, 0.565436893204, 0.506083354906
8,0.518053107899, 0.617531206657, 0.53468806627
9,0.525448909348, 0.658363384189, 0.533523168522
10,0.556543867446, 0.734646324549, 0.566787470878
11,0.571977923085, 0.793120665742, 0.584390370179
12,0.588410667323, 0.837836338419, 0.585555267926
13,0.600832159378, 0.883938973648, 0.600569505566
14,0.603990335525, 0.91866851595, 0.61247734921
15,0.608482989881, 0.93758668516, 0.618690137199
16,0.609203894453, 0.944244105409, 0.615972042454
17,0.609375366026, 0.948959778086, 0.620372767279
18,0.609759795443, 0.951012482663, 0.618560704116
19,0.610592947699, 0.951234396671, 0.620890499612
20,0.608208266672, 0.950013869626, 0.620372767279
21,0.608428604905, 0.952288488211, 0.623349728191
22,0.608650958931, 0.95145631068, 0.61998446803
23,0.611425947587, 0.95278779473, 0.621149365778
24,0.609589425257, 0.952510402219, 0.618560704116
25,0.609039660528, 0.952621359223, 0.619855034947
26,0.609537538754, 0.953120665742, 0.619596168781
27,0.610815916395, 0.952732316227, 0.620631633446
28,0.60947723182, 0.952954230236, 0.619337302615
29,0.610201878421, 0.952233009709, 0.622831995858
30,0.608927407631, 0.952399445215, 0.620243334196
31,0.608314364578, 0.951345353675, 0.620372767279
32,0.610700097768, 0.950069348128, 0.618819570282
33,0.60959096711, 0.951900138696, 0.623479161274
34,0.608596997346, 0.950846047157, 0.620243334196
35,0.6100382425, 0.949126213592, 0.619207869531
36,0.608649294712, 0.950846047157, 0.620890499612
37,0.608259492544, 0.952177531207, 0.622184830443
38,0.609870559872, 0.952454923717, 0.620372767279
39,0.60981877006, 0.952288488211, 0.622443696609
40,0.608868870775, 0.952122052705, 0.619725601864
41,0.60987433046, 0.951844660194, 0.621796531193
42,0.608487789739, 0.95145631068, 0.618819570282
43,0.610594303393, 0.952233009709, 0.621408231944
44,0.60909764053, 0.953009708738, 0.622184830443
45,0.610257763959, 0.950624133148, 0.617136940202
46,0.610259920142, 0.950735090153, 0.619207869531
47,0.610483074047, 0.950790568655, 0.617395806368
48,0.609154281816, 0.950735090153, 0.620631633446
49,0.60943092138, 0.949680998613, 0.619596168781
50,0.610206362509, 0.951844660194, 0.620761066529
51,0.609762042576, 0.952565880721, 0.619078436448
52,0.609870574891, 0.952288488211, 0.621278798861
53,0.610426374228, 0.952122052705, 0.623090862024
54,0.609206276281, 0.952399445215, 0.620631633446
55,0.609095774987, 0.951955617198, 0.620761066529
56,0.60975597773, 0.951511789182, 0.619337302615
57,0.609483000793, 0.951844660194, 0.621278798861
58,0.61003924632, 0.951067961165, 0.620113901113
59,0.610315019427, 0.952676837725, 0.621408231944
60,0.609704973362, 0.950069348128, 0.618949003365
61,0.610485030123, 0.951900138696, 0.619466735698
62,0.61159271255, 0.952843273232, 0.618819570282
63,0.610535761826, 0.952565880721, 0.62166709811
64,0.610925513358, 0.952565880721, 0.61998446803
65,0.609931313267, 0.95173370319, 0.61830183795
66,0.609764284432, 0.950957004161, 0.618431271033
67,0.610484800208, 0.95067961165, 0.618042971784
68,0.60887469515, 0.952510402219, 0.620502200362
69,0.60964604199, 0.952732316227, 0.621019932695
70,0.609483895585, 0.951511789182, 0.618690137199
71,0.609925138814, 0.953120665742, 0.621408231944
72,0.608812826706, 0.952066574202, 0.6179135387
73,0.611206164693, 0.952399445215, 0.623090862024
74,0.610146965015, 0.952454923717, 0.619337302615
75,0.610483433066, 0.950624133148, 0.618690137199
76,0.609593780047, 0.952676837725, 0.622314263526
77,0.610479722014, 0.95173370319, 0.620631633446
78,0.610259241792, 0.949126213592, 0.617395806368
79,0.609037268949, 0.952122052705, 0.619725601864
80,0.611093138139, 0.950735090153, 0.619855034947
81,0.609594300456, 0.952122052705, 0.619855034947
82,0.60970559597, 0.951678224688, 0.620113901113
83,0.611153374097, 0.950624133148, 0.616878074036
84,0.610372455666, 0.950624133148, 0.620761066529
85,0.61026229111, 0.950957004161, 0.61998446803
86,0.61098559345, 0.950901525659, 0.619466735698
87,0.611593388821, 0.952454923717, 0.621796531193
88,0.610596551789, 0.952399445215, 0.620243334196
89,0.610707447244, 0.952454923717, 0.619855034947
90,0.610703811567, 0.951067961165, 0.620372767279
91,0.609871522384, 0.951955617198, 0.622184830443
92,0.61036907221, 0.9520110957, 0.620243334196
93,0.610315972064, 0.951844660194, 0.620372767279
94,0.609760630111, 0.95173370319, 0.618560704116
95,0.609706452257, 0.952454923717, 0.61998446803
96,0.610597933185, 0.952343966713, 0.619466735698
97,0.610256385283, 0.951955617198, 0.620372767279
98,0.610481196269, 0.951844660194, 0.620502200362
99,0.610647267473, 0.952177531207, 0.618560704116
100,0.609482040148, 0.952066574202, 0.621408231944
