@relation '2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1_clustered'

@attribute Instance_number numeric
@attribute '0.72 Income+0.685Age+0.093IsSoftwareDev-0.062IsEthnicMinority' numeric
@attribute -0.767IsSoftwareDev+0.568IsEthnicMinority+0.274Age-0.113Income numeric
@attribute -0.799IsEthnicMinority-0.449IsSoftwareDev+0.284Age-0.28Income numeric
@attribute 0.625Income-0.613Age-0.448IsSoftwareDev-0.185IsEthnicMinority numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12}

@data
91,0.778482,1.909363,-0.835609,-0.526064,0,cluster12
92,0.490442,-0.022181,-2.188244,-0.520709,1,cluster8
93,-0.582141,-1.266174,0.033317,-0.842515,1,cluster11
94,0.050714,-1.270631,-0.076527,-0.592458,1,cluster11
95,0.508333,0.728872,1.346442,-0.749552,1,cluster7
96,2.910332,1.298073,1.775118,-1.654442,1,cluster6
97,-0.825297,-1.464332,-0.212831,-0.306371,1,cluster10
98,0.486241,-1.669343,-0.722917,0.831115,1,cluster3
99,-0.788802,-1.281103,0.045549,-0.872344,1,cluster11
100,-0.094827,-1.531281,-0.428783,0.177753,1,cluster2
101,1.848864,1.322295,1.983516,-2.126826,1,cluster6
102,1.117956,0.916979,1.518206,-1.117267,1,cluster7
103,2.875345,-1.948326,-1.515806,2.604352,0,cluster6
104,-1.445682,0.136877,0.811678,0.394466,1,cluster1
105,-0.684054,-1.48641,-0.267763,-0.183873,0,cluster10
106,-0.530705,-1.510381,-0.327404,-0.050874,1,cluster2
107,-0.537475,0.231079,0.799173,0.435115,0,cluster1
108,1.424381,2.044566,-0.746097,-0.712912,0,cluster12
109,-0.191636,-1.468915,-0.322989,-0.055614,1,cluster2
110,-0.670778,0.110216,0.646587,0.767721,1,cluster9
111,-0.57783,0.237387,0.814868,0.400115,1,cluster1
112,-0.706835,0.399252,1.06947,-0.159988,0,cluster4
113,-0.517254,0.275151,0.859451,0.303246,1,cluster1
114,-0.587027,-1.312643,-0.032926,-0.697347,1,cluster11
115,2.343609,-0.502673,-0.730205,3.830292,1,cluster6
116,-0.662619,0.203407,0.779701,0.475984,1,cluster1
117,2.578676,0.546949,0.745669,0.597821,1,cluster6
118,0.119186,-1.423034,-0.307588,-0.084854,1,cluster10
119,2.784749,0.798137,1.074383,-0.11989,1,cluster7
120,1.145635,0.298619,0.621577,0.849019,1,cluster9
121,0.882728,-0.644953,0.690178,-2.261359,0,cluster6
122,-0.525237,0.370866,0.998843,-0.00249,0,cluster4
123,-0.667737,-1.300027,-0.001536,-0.767346,1,cluster11
124,-0.077034,0.584206,1.233387,-0.510204,1,cluster7
125,0.758402,0.548082,1.044754,-0.08445,0,cluster4
126,1.911561,-1.04194,-0.050675,-0.622029,1,cluster6
127,-0.916768,0.337601,1.014831,-0.043249,1,cluster4
128,1.310096,-1.136856,-0.089326,-0.546049,1,cluster10
129,0.740609,-1.567404,-0.617416,0.603507,1,cluster3
130,-0.191636,-1.468915,-0.322989,-0.055614,0,cluster2
131,-0.724409,-1.480102,-0.252068,-0.218872,0,cluster10
132,0.136443,1.584622,-1.199196,0.261757,1,cluster0
133,-1.389229,0.08082,0.721578,0.592833,1,cluster1
134,-0.571821,0.189214,0.744387,0.554733,0,cluster1
135,0.645058,0.187933,0.543689,1.012497,1,cluster9
136,0.366652,0.278685,0.720111,0.621632,1,cluster1
137,-1.14688,0.279104,0.96804,0.05599,1,cluster4
138,0.273826,1.752081,-0.980054,-0.216717,1,cluster12
139,0.314059,0.145206,0.536135,1.024237,0,cluster9
140,0.354852,0.611163,1.201703,-0.434445,1,cluster7
141,3.421671,-0.380557,0.656733,-2.151041,1,cluster6
142,1.459717,-0.829611,0.329487,-1.462128,0,cluster5
143,0.309161,-1.122096,0.09553,-0.965934,1,cluster5
144,0.827313,0.867944,1.494957,-1.070528,0,cluster7
145,-1.405424,1.495004,-1.076533,-0.029649,1,cluster0
146,-0.065112,1.852295,-0.78009,-0.660082,0,cluster12
147,-0.349293,-0.268785,-2.4068,-0.053754,1,cluster8
148,0.120443,0.269937,0.747724,0.557503,1,cluster1
149,-0.373452,-1.676661,-0.592993,0.533729,1,cluster2
150,-0.930264,-1.495157,-0.24015,-0.248002,1,cluster10
151,-0.481022,0.175021,0.709073,0.633482,1,cluster1
152,-1.239827,0.151933,0.79976,0.423595,1,cluster1
153,-0.230733,0.230364,0.748017,0.551743,1,cluster1
154,-0.143122,-1.382032,-0.20557,-0.312351,1,cluster10
155,-0.284584,-1.596086,-0.49127,0.311991,1,cluster2
156,-0.159001,-1.09615,0.209465,-1.22256,1,cluster5
157,-1.168412,-0.046279,-1.951939,-1.062981,1,cluster8
158,-0.121687,0.307786,0.841893,0.347506,0,cluster1
159,-0.884791,0.001969,0.525391,1.030328,1,cluster9
160,-1.494195,0.049994,0.694259,0.651203,1,cluster9
161,-1.337893,-1.478673,-0.149758,-0.452129,1,cluster10
162,-0.537475,0.231079,0.799173,0.435115,0,cluster1
163,0.031793,0.425495,0.986632,0.032399,1,cluster4
164,-0.468882,1.679243,-0.963772,-0.263236,1,cluster12
165,-0.626125,0.386636,1.03808,-0.089989,1,cluster4
166,0.039908,0.471459,1.051619,-0.109969,1,cluster4
167,0.253429,1.519102,-1.312838,0.512624,1,cluster0
168,-1.099842,-1.563117,-0.310484,-0.096263,1,cluster2
169,-1.280182,0.158241,0.815455,0.388596,1,cluster1
170,3.344383,-1.029743,-0.267215,-0.126385,1,cluster6
171,-0.252168,-1.459453,-0.299447,-0.108114,0,cluster10
172,1.269741,-1.130548,-0.073631,-0.581049,1,cluster11
173,3.380878,-0.846514,-0.008835,-0.692359,1,cluster6
174,2.452558,0.939182,-2.508845,3.166941,1,cluster6
175,0.801482,0.259833,-1.832211,-1.29679,1,cluster8
176,0.205354,1.904484,-0.748994,-0.724321,0,cluster12
177,0.540529,0.629372,1.197633,-0.422815,1,cluster7
178,-0.179714,-0.200826,-2.336466,-0.205492,1,cluster8
179,-0.458066,-1.521735,-0.355655,0.012125,1,cluster2
180,1.838572,-1.408397,-0.567435,0.509918,1,cluster3
181,0.035556,1.600392,-1.159959,0.174258,1,cluster0
182,-0.312701,-1.449991,-0.275904,-0.160613,1,cluster10
183,0.442245,-1.237366,-0.092516,-0.551699,0,cluster11
184,-0.601868,0.430078,1.09679,-0.218357,0,cluster4
185,-1.082487,0.080105,0.670423,0.709462,1,cluster9
186,-0.098688,-1.341744,-0.154708,-0.42322,1,cluster10
187,0.437946,-1.520094,-0.499704,0.34101,0,cluster2
188,-0.373452,-1.676661,-0.592993,0.533729,1,cluster2
189,-0.961422,0.061181,0.623338,0.81446,1,cluster9
190,-0.023963,0.623143,1.28089,-0.613583,1,cluster7
191,-0.089491,0.208286,0.693085,0.674242,1,cluster1
192,-1.122667,0.275319,0.958623,0.076989,1,cluster4
193,-0.975371,0.252295,0.901337,0.204738,1,cluster1
194,-0.670559,0.346348,0.987219,0.02088,1,cluster4
195,-0.969361,0.204122,0.830856,0.359356,1,cluster1
196,1.400222,0.636691,1.067709,-0.125429,0,cluster7
197,-1.631578,-0.117465,0.475117,1.129677,1,cluster9
198,1.863867,0.091883,0.205954,1.770747,0,cluster6
199,-1.547827,-1.540324,-0.204396,-0.33539,1,cluster10
200,-0.876511,1.695727,-0.873379,-0.467364,0,cluster12
201,-0.73925,0.262619,0.877647,0.260117,1,cluster1
202,0.112284,0.176746,0.61461,0.849239,0,cluster9
203,-0.702974,0.209715,0.795396,0.440985,0,cluster1
204,-1.099842,-1.563117,-0.310484,-0.096263,1,cluster2
205,-0.545634,0.137888,0.666059,0.726851,1,cluster9
206,-0.892512,0.381043,1.073541,-0.171618,1,cluster4
207,-0.384214,0.112656,0.603279,0.86685,1,cluster9
208,-0.924927,0.24441,0.881718,0.248487,1,cluster1
209,0.10685,-0.198387,-2.379774,-0.106364,0,cluster8
210,1.862731,-0.000521,-2.381241,-0.077565,1,cluster8
211,0.24047,-1.205826,-0.014041,-0.726697,1,cluster11
212,-0.63962,-1.446122,-0.216901,-0.294741,1,cluster10
213,-0.857493,-1.364832,-0.064022,-0.633107,1,cluster11
214,1.12828,-1.344602,-0.35933,0.043294,1,cluster2
215,0.665576,2.021478,-0.655411,-0.922799,1,cluster12
216,-0.667737,-1.300027,-0.001536,-0.767346,1,cluster11
217,2.791432,-1.037776,-0.188446,-0.307143,1,cluster6
218,-0.788802,-1.281103,0.045549,-0.872344,1,cluster11
219,-0.121687,0.307786,0.841893,0.347506,1,cluster1
220,0.833557,-1.440233,-0.449136,0.235901,1,cluster2
221,-0.449742,0.21925,-1.686299,-1.634935,1,cluster8
222,0.822795,0.349084,0.747137,0.569022,1,cluster1
223,-0.239508,-0.004431,0.410713,1.291164,1,cluster9
224,-0.065332,1.616162,-1.120722,0.086759,1,cluster0
225,0.692533,-1.182023,-0.053572,-0.633438,1,cluster11
226,0.627922,-1.219156,-0.096586,-0.540069,1,cluster11
227,-1.015682,0.305829,0.985158,0.02037,1,cluster4
228,-1.212749,-1.451001,-0.130286,-0.492999,1,cluster10
229,-2.025137,1.308473,-1.244373,0.329317,0,cluster0
230,-0.626485,1.467712,-1.243193,0.347106,1,cluster0
231,-0.772032,0.36221,1.026684,-0.067127,0,cluster4
232,-0.708432,-1.246433,0.082434,-0.952046,1,cluster11
233,-1.001655,1.668056,-0.892851,-0.426494,1,cluster12
234,0.244232,-0.030928,-2.160631,-0.584838,1,cluster8
235,-0.17042,-0.01523,0.383843,1.351084,0,cluster9
236,-0.913946,-1.308775,0.026077,-0.831475,1,cluster11
237,-0.300463,-1.310204,-0.076234,-0.598218,0,cluster11
238,-0.364855,-1.111205,0.221383,-1.25169,1,cluster5
239,-1.401247,0.177165,0.862539,0.283597,1,cluster1
240,-1.168314,-1.410714,-0.079424,-0.603867,1,cluster11
241,-1.110701,1.590634,-0.986727,-0.222257,1,cluster0
242,-1.805114,1.368547,-1.193658,0.221328,0,cluster0
243,1.42812,0.254463,0.511712,1.094016,0,cluster9
244,1.343891,2.293315,-0.374076,-1.529752,1,cluster6
245,0.07806,1.735448,-0.97206,-0.237097,1,cluster12
246,1.226345,0.286003,0.590187,0.919018,1,cluster9
247,-0.251086,0.044613,0.48336,1.131716,1,cluster9
248,0.010139,-1.500455,-0.401464,0.119383,1,cluster2
249,-0.17428,0.174307,0.657918,0.750111,1,cluster9
250,-0.638363,0.246849,0.83841,0.347616,1,cluster1
251,-1.163294,1.457155,-1.170703,0.180349,1,cluster0
252,-0.949184,0.200968,0.823009,0.376856,1,cluster1
253,2.052146,-1.772415,-1.127502,1.740993,1,cluster3
254,-1.378248,-1.472365,-0.134063,-0.487129,1,cluster10
255,-0.755348,0.312369,0.952052,0.096749,1,cluster4
256,-1.231669,0.245124,0.932873,0.131859,1,cluster4
257,1.848426,0.85003,1.302253,-0.633144,1,cluster7
258,0.4596,0.405856,0.888391,0.254026,1,cluster4
259,1.746719,-0.354906,0.967442,-2.856682,1,cluster6
260,0.721908,0.364854,0.786374,0.481524,1,cluster1
261,-0.958381,-1.349062,-0.024785,-0.720606,1,cluster11
262,0.228134,0.018822,-2.086227,-0.748206,1,cluster8
263,-1.175313,1.553501,-1.029742,-0.128888,1,cluster0
264,-0.468882,1.679243,-0.963772,-0.263236,1,cluster12
265,0.653217,0.281124,0.676803,0.720761,0,cluster9
266,-0.873591,-1.315083,0.010382,-0.796475,1,cluster11
267,-1.086445,1.634076,-0.928018,-0.350625,1,cluster0
268,1.46292,-1.727544,-0.966482,1.379367,1,cluster3
269,-0.453943,-1.427913,-0.220972,-0.283112,0,cluster10
270,-1.297538,-1.484981,-0.165452,-0.41713,0,cluster10
271,-0.130762,0.358322,-1.537784,-1.955911,1,cluster6
272,-0.337089,-1.635112,-0.538992,0.41586,1,cluster2
273,-0.373452,-1.676661,-0.592993,0.533729,1,cluster2
274,1.105718,0.777192,1.318535,-0.679663,1,cluster7
275,-0.808979,-1.277949,0.053396,-0.889844,1,cluster11
276,-1.631578,-0.117465,0.475117,1.129677,1,cluster9
277,-0.400093,0.398538,1.018315,-0.04336,1,cluster4
278,2.506246,2.253323,-0.621711,-0.96987,1,cluster6
279,-0.291266,0.239826,0.77156,0.499244,1,cluster1
280,-0.40929,-1.151493,0.170522,-1.140821,1,cluster5
281,-1.135221,1.263834,-1.454195,0.802321,1,cluster0
282,-0.630423,0.103908,0.630892,0.80272,1,cluster9
283,0.185493,0.779336,1.472001,-1.029548,1,cluster7
284,-0.743329,0.216023,0.811091,0.405985,1,cluster1
285,0.177115,0.450012,0.998256,0.00903,1,cluster4
286,0.147643,0.26757,-1.714206,-1.565046,1,cluster8
287,-0.682895,1.570996,-1.084968,-0.000629,1,cluster0
288,-0.16716,-1.189341,0.076352,-0.930824,1,cluster11
289,0.051654,1.550643,-1.234363,0.337626,1,cluster0
290,0.584744,0.433527,0.907863,0.213157,1,cluster4
291,-0.203874,-1.608702,-0.522659,0.38199,1,cluster2
292,0.238357,-1.394429,-0.285793,-0.130904,1,cluster10
293,-0.127121,-0.067347,-2.15249,-0.608097,1,cluster8
294,-0.481241,-0.061111,0.368442,1.380323,0,cluster9
295,-0.675896,-1.393219,-0.13465,-0.475609,1,cluster10
296,-0.484882,0.364558,0.983148,0.03251,1,cluster4
297,-0.779605,0.268927,0.893342,0.225117,1,cluster1
298,-0.286967,0.522555,1.178748,-0.393465,1,cluster7
299,-0.684152,-0.121976,-2.140279,-0.642987,1,cluster8
300,3.046083,1.177039,-2.262676,2.635857,1,cluster6
301,-0.481241,-0.061111,0.368442,1.380323,1,cluster9
302,-0.962679,-1.63179,-0.431973,0.172103,1,cluster2
303,0.845795,-1.300446,-0.249465,-0.201703,1,cluster10
304,-0.284364,-1.359954,-0.150638,-0.43485,0,cluster10
305,0.946804,0.28435,-1.820587,-1.320159,1,cluster8
306,-0.460942,1.536302,-1.17129,0.191868,1,cluster0
307,-0.57783,0.237387,0.814868,0.400115,1,cluster1
308,-1.320537,0.164549,0.83115,0.353596,1,cluster1
309,1.293901,0.277328,-1.887437,-1.168531,1,cluster8
310,-0.833236,-1.321391,-0.005313,-0.761476,1,cluster11
311,-0.85373,-0.189935,-2.210613,-0.491248,1,cluster8
312,-0.089491,0.208286,0.693085,0.674242,1,cluster1
313,-0.445565,-1.098589,0.252773,-1.321689,1,cluster5
314,3.720035,-0.710596,0.131833,-0.995835,1,cluster6
315,-0.98138,0.300467,0.971817,0.05012,1,cluster4
316,-1.005735,1.62146,-0.959408,-0.280626,1,cluster0
317,-0.916866,1.702035,-0.857684,-0.502363,1,cluster12
318,-0.432387,1.862471,-0.705392,-0.82921,1,cluster12
319,-1.268174,1.520783,-1.06177,-0.060018,0,cluster0
320,1.452815,0.770169,1.251685,-0.528035,0,cluster7
321,-0.985679,0.017739,0.564629,0.942829,1,cluster9
322,0.050494,-1.506763,-0.417159,0.154383,0,cluster2
323,0.378452,-0.053793,0.238518,1.677709,0,cluster6
324,-0.320859,-1.543182,-0.409018,0.131123,1,cluster2
325,-0.708409,-0.165417,-2.198988,-0.514618,1,cluster8
326,2.25822,-1.521227,-0.798789,1.023281,1,cluster3
327,0.40575,-1.420595,-0.350895,0.014274,1,cluster2
328,-0.312798,-0.085557,-2.14842,-0.619727,0,cluster8
329,0.330157,0.095456,0.461731,1.187605,0,cluster9
330,-0.375705,0.583659,1.281403,-0.619833,1,cluster7
331,-0.458241,-1.710641,-0.62816,0.609598,0,cluster3
332,-0.032599,0.624493,1.284249,-0.621073,1,cluster7
333,2.066201,2.133175,-0.723142,-0.753892,1,cluster12
334,-0.505376,1.496014,-1.222152,0.302737,0,cluster0
335,-0.446004,-1.570854,-0.42849,0.171993,1,cluster2
336,-0.704013,-1.247124,0.080716,-0.948213,1,cluster11
337,-0.747463,1.581089,-1.059856,-0.056629,0,cluster0
338,-0.276425,-1.502895,-0.358156,0.020255,1,cluster2
339,2.583413,1.301942,1.834121,-1.78857,0,cluster6
340,1.852067,0.424361,0.687547,0.71467,1,cluster6
341,0.827094,0.631812,1.154325,-0.323687,0,cluster7
342,1.620698,-1.327107,-0.414556,0.171552,1,cluster2
343,-0.650382,0.343194,0.979371,0.03838,1,cluster4
344,0.447703,2.102768,-0.502532,-1.261165,1,cluster12
345,-0.259069,0.140327,0.622751,0.82598,1,cluster9
346,1.500672,0.148656,0.347209,1.455751,0,cluster9
347,-0.150121,1.582183,-1.155888,0.162628,1,cluster0
348,1.888562,0.60759,0.945927,0.148697,0,cluster7
349,-0.33956,0.389076,0.994773,0.00914,0,cluster4
350,0.337059,-1.504324,-0.460467,0.253512,1,cluster2
351,-0.880809,1.412999,-1.280568,0.425346,1,cluster0
352,-1.087604,-1.42333,-0.110814,-0.533868,1,cluster10
353,-0.08143,1.665912,-1.046317,-0.076609,1,cluster0
354,-1.365069,1.488696,-1.092228,0.005351,1,cluster0
355,0.825398,-1.533425,-0.582249,0.527638,1,cluster2
356,0.209311,0.350513,0.849447,0.335766,1,cluster1
357,-0.557434,0.470365,1.147652,-0.329226,1,cluster4
358,-0.553573,0.280829,0.873577,0.271747,0,cluster1
359,-1.135396,1.074928,-1.7267,1.399794,1,cluster6
360,0.080526,0.74851,1.444682,-0.971179,0,cluster7
361,-0.034173,0.059824,-1.98421,-0.975703,1,cluster8
362,0.156938,0.453166,1.006103,-0.00847,1,cluster4
363,-0.80396,1.58992,-1.037883,-0.105628,0,cluster0
364,-0.016501,0.574744,1.209844,-0.457705,1,cluster7
365,-0.590166,1.462034,-1.257319,0.378606,1,cluster0
366,-1.062407,1.441385,-1.20994,0.267847,1,cluster0
367,-0.832198,0.135448,0.709367,0.627723,1,cluster1
368,1.091566,-1.763963,-0.958341,1.356108,1,cluster3
369,-0.41641,0.212155,0.752088,0.540113,0,cluster1
370,-1.062407,1.441385,-1.20994,0.267847,1,cluster0
371,-1.265342,-1.58448,-0.314261,-0.090393,1,cluster2
372,0.817361,-0.026049,-2.247247,-0.386581,1,cluster8
373,-1.389448,-0.155313,0.380947,1.339674,1,cluster9
374,-0.760685,-1.427198,-0.169816,-0.39974,1,cluster10
375,-0.3475,0.532017,1.20229,-0.445965,1,cluster7
376,0.883547,0.575754,1.064226,-0.125319,1,cluster7
377,-1.53455,0.056302,0.709954,0.616203,1,cluster1
378,-0.800002,0.035949,0.560558,0.954459,1,cluster9
379,-0.561513,0.42377,1.081095,-0.183358,1,cluster4
380,-2.0918,-0.234459,0.381534,1.328155,1,cluster9
381,1.006996,-1.561811,-0.652877,0.685136,1,cluster3
382,0.084289,1.923408,-0.701909,-0.82932,1,cluster12
383,-0.161921,1.91466,-0.674296,-0.893449,1,cluster12
384,-0.954389,-1.39692,-0.094481,-0.567738,1,cluster10
385,0.173157,2.003983,-0.600185,-1.051057,1,cluster12
386,0.24047,-1.205826,-0.014041,-0.726697,1,cluster11
387,0.903724,0.5726,1.056378,-0.107819,1,cluster4
388,0.455204,1.487562,-1.391313,0.687622,1,cluster0
389,3.522558,-0.396327,0.617496,-2.063542,1,cluster6
390,-0.444746,0.122118,0.626822,0.81435,1,cluster9
391,0.035873,0.47209,1.053188,-0.113469,1,cluster4
392,-0.456546,0.454595,1.108414,-0.241727,1,cluster4
393,-0.776783,-1.377449,-0.095412,-0.563108,1,cluster10
394,1.020612,1.871514,-0.929779,-0.316067,0,cluster12
395,0.733707,0.032376,0.304782,1.537601,0,cluster9
396,1.545106,0.188943,0.398071,1.344883,1,cluster9
397,0.944079,0.566292,1.040683,-0.07282,1,cluster4
398,-0.502554,-0.150362,-2.210906,-0.485489,0,cluster8
399,-0.252047,0.141114,-1.831331,-1.314069,1,cluster8
400,0.52747,0.30078,0.725708,0.611702,1,cluster1
401,-0.343859,0.106347,0.587584,0.901849,1,cluster9
402,-0.347817,1.660319,-1.010857,-0.158238,0,cluster0
403,-0.651575,-1.585954,-0.416682,0.143108,0,cluster2
404,-0.478078,0.129212,-1.811565,-1.360698,1,cluster8
405,-1.243907,0.105337,0.733203,0.569464,1,cluster1
406,-0.397578,-1.578423,-0.447324,0.213992,1,cluster2
407,-1.118762,0.133009,0.752675,0.528594,1,cluster1
408,-0.072954,0.630801,1.299944,-0.656072,1,cluster7
409,-0.355659,0.438825,1.069177,-0.154228,1,cluster4
410,-0.343859,0.106347,0.587584,0.901849,1,cluster9
411,-0.135182,-1.524973,-0.413088,0.142753,1,cluster2
412,0.737908,1.679538,-1.160546,0.185778,1,cluster0
413,-1.490116,0.09659,0.760816,0.505334,1,cluster1
414,-0.468653,0.456488,1.113123,-0.252227,1,cluster4
415,1.407943,0.257617,0.51956,1.076516,1,cluster9
416,-1.207631,0.052433,0.650951,0.750331,1,cluster9
417,-1.001777,0.067489,0.639033,0.779461,0,cluster9
418,-0.066491,-1.441243,-0.303517,-0.096484,1,cluster10
419,0.003457,0.335457,0.861365,0.306636,0,cluster1
420,-0.275168,0.190077,0.697155,0.662612,1,cluster1
421,-0.541554,0.184483,0.732616,0.580983,1,cluster1
422,-0.582129,-0.045341,0.407679,1.292824,1,cluster9
423,-0.513218,0.274521,0.857882,0.306746,1,cluster1
424,-0.606264,1.511784,-1.182914,0.215238,0,cluster0
425,-1.058328,1.487981,-1.143383,0.121979,0,cluster0
