@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.Remove-R3-4_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12}

@data
214,33,84000,1,cluster3
215,42,40000,1,cluster2
216,28,16000,1,cluster6
217,45,116000,1,cluster9
218,28,10000,1,cluster7
219,31,40000,1,cluster1
220,30,82000,1,cluster3
221,33,13000,1,cluster6
222,35,70000,1,cluster3
223,24,63576,1,cluster11
224,31,50000,1,cluster1
225,35,54000,1,cluster1
226,34,55000,1,cluster1
227,28,8300,1,cluster7
228,23,10000,1,cluster7
229,18,7500,0,cluster7
230,26,43200,1,cluster8
231,30,11971,0,cluster6
232,29,9781,1,cluster6
233,29,12000,1,cluster6
234,30,60000,1,cluster3
235,24,67000,0,cluster11
236,27,8000,1,cluster7
237,29,30000,0,cluster8
238,33,10000,1,cluster6
239,24,6000,1,cluster7
240,24,8000,1,cluster7
241,27,15000,1,cluster7
242,20,10000,0,cluster7
243,35,100000,0,cluster5
244,50,40000,1,cluster4
245,34,44500,1,cluster1
246,35,90000,1,cluster3
247,25,58800,1,cluster11
248,26,58000,1,cluster11
249,28,50000,1,cluster11
250,28,27000,1,cluster8
251,24,25000,1,cluster8
252,26,20000,1,cluster7
253,27,155000,1,cluster5
254,22,6000,1,cluster7
255,29,17000,1,cluster6
256,26,6000,1,cluster7
257,49,62000,1,cluster4
258,35,52000,1,cluster1
259,56,18000,1,cluster4
260,35,65000,1,cluster3
261,26,10000,1,cluster7
262,31,55000,1,cluster1
263,26,16000,1,cluster7
264,31,30000,1,cluster1
265,33,70000,0,cluster3
266,27,10000,1,cluster7
267,28,12000,1,cluster7
268,26,130000,1,cluster5
269,26,35000,0,cluster8
270,22,10000,0,cluster7
271,37,12000,1,cluster10
272,22,57600,1,cluster11
273,21,60000,1,cluster11
274,45,42000,1,cluster2
275,28,9000,1,cluster7
276,17,24000,1,cluster8
277,32,22000,1,cluster6
278,53,85000,1,cluster9
279,29,40000,1,cluster1
280,32,12000,1,cluster6
281,20,43200,1,cluster8
282,25,40000,1,cluster8
283,42,9000,1,cluster10
284,27,26000,1,cluster8
285,35,38000,1,cluster1
286,36,30000,1,cluster10
287,28,32000,1,cluster8
288,32,24000,1,cluster6
289,30,60000,1,cluster3
290,36,54000,1,cluster2
291,23,60000,1,cluster11
292,29,56704,1,cluster11
293,28,50000,1,cluster11
294,22,60000,0,cluster11
295,26,24000,1,cluster8
296,31,22000,1,cluster6
297,28,20000,1,cluster6
298,35,15000,1,cluster6
299,25,35000,1,cluster8
300,32,200000,1,cluster0
301,22,60000,1,cluster11
302,20,35000,1,cluster8
303,33,70000,1,cluster3
304,28,35000,0,cluster8
305,39,57000,1,cluster2
306,28,43000,1,cluster1
307,28,30000,1,cluster8
308,24,10000,1,cluster7
309,40,70000,1,cluster12
310,27,12000,1,cluster7
311,23,35000,1,cluster8
312,29,50000,1,cluster1
313,33,6000,1,cluster6
314,55,120000,1,cluster9
315,28,10000,1,cluster7
316,28,16000,1,cluster6
317,30,12000,1,cluster6
318,35,15000,1,cluster6
319,25,15600,0,cluster7
320,46,55000,0,cluster2
321,22,35000,1,cluster8
322,26,60000,0,cluster11
323,25,90000,0,cluster3
324,24,50000,1,cluster11
325,24,38000,1,cluster8
326,33,140000,1,cluster5
327,29,65000,1,cluster3
328,27,45000,0,cluster8
329,28,75000,0,cluster3
330,36,6400,1,cluster6
331,20,60000,0,cluster11
332,38,15000,1,cluster10
333,49,80000,1,cluster12
334,27,45000,0,cluster8
335,23,48000,1,cluster11
336,29,10000,1,cluster6
337,28,28800,0,cluster8
338,25,48000,1,cluster11
339,61,48000,0,cluster4
340,40,100000,1,cluster12
341,41,45000,0,cluster2
342,35,100000,1,cluster5
343,30,18000,1,cluster6
344,43,25000,1,cluster10
345,27,50000,1,cluster11
346,33,112000,0,cluster5
347,30,50000,1,cluster1
348,44,85000,0,cluster12
349,32,25000,0,cluster1
350,27,70000,1,cluster3
351,24,39000,1,cluster8
352,24,12000,1,cluster7
353,32,45000,1,cluster1
354,24,15000,1,cluster7
355,28,90000,1,cluster3
356,33,48000,1,cluster1
357,33,10000,1,cluster6
358,29,27000,0,cluster8
359,16,60000,1,cluster11
360,41,8000,0,cluster10
361,31,42000,1,cluster1
362,35,37000,1,cluster1
363,28,26000,0,cluster8
364,37,20000,1,cluster10
365,26,45000,1,cluster8
366,24,30000,1,cluster8
367,25,30000,1,cluster8
368,24,120000,1,cluster5
369,28,38000,0,cluster8
370,24,30000,1,cluster8
371,20,20000,1,cluster7
372,32,80000,1,cluster3
373,17,36000,1,cluster8
374,25,24000,1,cluster8
375,35,12000,1,cluster6
376,40,52000,1,cluster2
377,21,12000,1,cluster7
378,23,40000,1,cluster8
379,32,14000,1,cluster6
380,13,18000,1,cluster7
381,28,99000,1,cluster5
382,38,28000,1,cluster10
383,37,20000,1,cluster10
384,25,14400,1,cluster7
385,40,24000,1,cluster10
386,33,40000,1,cluster1
387,40,53000,1,cluster2
388,30,80000,1,cluster3
389,61,85000,1,cluster9
390,26,45000,1,cluster8
391,35,31000,1,cluster1
392,33,15000,1,cluster6
393,26,19000,1,cluster7
394,40,66000,0,cluster2
395,28,95000,0,cluster3
396,34,110000,1,cluster5
397,40,55000,1,cluster2
398,25,44000,0,cluster8
399,32,27000,1,cluster1
400,33,63768,1,cluster3
401,26,50000,1,cluster11
402,31,36000,0,cluster1
403,22,42014,0,cluster8
404,31,20000,1,cluster6
405,23,18000,1,cluster7
406,23,50400,1,cluster11
407,24,20000,1,cluster7
408,38,13000,1,cluster10
409,33,20000,1,cluster6
410,26,50000,1,cluster11
411,25,55000,1,cluster11
412,35,73000,1,cluster3
413,22,10000,1,cluster7
414,33,14400,1,cluster6
415,35,99000,1,cluster5
416,22,24000,1,cluster8
417,23,30000,0,cluster8
418,27,50000,1,cluster11
419,32,42000,0,cluster1
420,28,45000,1,cluster1
421,27,36000,1,cluster8
422,22,55000,1,cluster11
423,29,29000,1,cluster8
424,27,40000,0,cluster8
425,25,26000,0,cluster8
426,23,27000,0,cluster8
427,42,40000,1,cluster2
428,23,60000,0,cluster11
429,29,20000,1,cluster6
430,25,200000,1,cluster0
431,26,11000,1,cluster7
432,31,20000,1,cluster6
433,30,15000,1,cluster6
434,24,10000,1,cluster7
435,31,65000,0,cluster3
436,41,87000,1,cluster12
437,28,50000,1,cluster11
438,23,14000,1,cluster7
439,43,15000,0,cluster10
440,25,25367,1,cluster8
441,35,100000,1,cluster5
442,30,8000,1,cluster6
443,30,33000,1,cluster1
444,60,40000,1,cluster4
445,26,10000,1,cluster7
446,24,32000,1,cluster8
447,41,40000,1,cluster2
448,29,58000,1,cluster11
449,35,22000,1,cluster10
450,31,95000,1,cluster3
451,24,63600,1,cluster11
452,26,8000,0,cluster7
453,23,43000,1,cluster8
454,28,40000,0,cluster8
455,33,53000,1,cluster1
456,27,36000,1,cluster8
457,21,40000,1,cluster8
458,23,12000,1,cluster7
459,24,30000,1,cluster8
460,23,70000,1,cluster11
461,42,30000,0,cluster10
462,25,6500,1,cluster7
463,29,48000,1,cluster1
464,25,60000,0,cluster11
465,26,45000,1,cluster8
466,28,40000,1,cluster8
467,21,14000,1,cluster7
468,53,50000,0,cluster4
469,27,35000,0,cluster8
470,38,30000,0,cluster10
471,30,130000,1,cluster5
472,24,15000,1,cluster7
473,54,45000,1,cluster4
474,28,44000,1,cluster1
475,31,15000,0,cluster6
476,46,20000,1,cluster10
477,29,48000,1,cluster1
478,24,31000,1,cluster8
479,35,130000,1,cluster5
480,29,30000,0,cluster8
481,28,70000,1,cluster3
482,32,50000,1,cluster1
483,39,40000,0,cluster2
484,23,36000,1,cluster8
485,31,6000,1,cluster6
486,38,86000,1,cluster12
487,25,23000,0,cluster8
488,23,6000,0,cluster7
489,29,140000,1,cluster5
490,29,20000,1,cluster6
491,40,25000,1,cluster10
492,21,25000,1,cluster8
493,28,60000,1,cluster11
494,35,50000,1,cluster1
495,30,46000,1,cluster1
496,29,18000,1,cluster6
497,52,60000,1,cluster4
498,18,36000,1,cluster8
499,41,45000,1,cluster2
500,26,50000,1,cluster11
501,41,90000,1,cluster12
502,27,34000,1,cluster8
503,32,15000,1,cluster6
504,30,10000,1,cluster6
505,25,35000,1,cluster8
506,31,10000,1,cluster6
507,31,40000,1,cluster1
508,25,43440,0,cluster8
509,29,15000,1,cluster6
510,33,42000,0,cluster1
511,27,20500,1,cluster6
512,27,80000,1,cluster3
513,28,8000,1,cluster7
514,26,48000,0,cluster11
515,40,200000,1,cluster0
516,28,20000,1,cluster6
517,62,20000,0,cluster4
518,21,10000,0,cluster7
519,45,60000,0,cluster2
520,34,30000,1,cluster1
521,39,6000,0,cluster10
522,30,19200,1,cluster6
523,25,9000,0,cluster7
524,34,200000,1,cluster0
525,36,20000,1,cluster10
526,25,24000,1,cluster8
527,26,33840,1,cluster8
528,28,55000,1,cluster11
529,30,22000,1,cluster6
530,28,29000,1,cluster8
531,24,96000,0,cluster5
532,27,12000,1,cluster7
533,23,45000,1,cluster8
534,25,42000,0,cluster8
535,26,52000,1,cluster11
536,27,20000,1,cluster6
537,24,10000,1,cluster7
538,31,7000,1,cluster6
539,23,54000,1,cluster11
540,21,10000,1,cluster7
541,34,40000,1,cluster1
542,32,65000,1,cluster3
543,39,135000,1,cluster5
544,31,6000,1,cluster6
545,28,35000,1,cluster8
546,32,40000,1,cluster1
547,39,36000,0,cluster2
548,18,6000,0,cluster7
549,35,72000,0,cluster3
550,53,111000,1,cluster9
551,24,69600,1,cluster11
552,30,14500,1,cluster6
553,27,20000,0,cluster6
554,42,42000,1,cluster2
555,33,14000,1,cluster6
556,45,60000,1,cluster2
557,43,105000,1,cluster9
558,27,25205,1,cluster8
559,36,36000,1,cluster1
560,54,7500,1,cluster4
561,38,10000,1,cluster10
562,21,200000,1,cluster0
563,26,40000,1,cluster8
564,27,40000,1,cluster8
565,37,90000,1,cluster12
566,32,70000,1,cluster3
567,25,9000,0,cluster7
568,36,70000,0,cluster3
569,32,22000,0,cluster6
570,30,12000,1,cluster6
571,34,28000,1,cluster1
572,24,10000,1,cluster7
573,39,145000,1,cluster5
574,28,14500,0,cluster6
575,32,50000,1,cluster1
576,30,40000,1,cluster1
577,21,38000,1,cluster8
578,31,30000,1,cluster1
579,35,34000,1,cluster1
580,32,15000,1,cluster6
581,27,7000,0,cluster7
582,23,37500,1,cluster8
583,25,7500,1,cluster7
584,34,30000,0,cluster1
585,34,6000,1,cluster6
586,24,40000,1,cluster8
587,35,8000,1,cluster6
588,23,80000,1,cluster3
589,24,10000,1,cluster7
590,24,16000,0,cluster7
