@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute IsEthnicMinority numeric
@attribute IsSoftwareDev numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1}

@data
169,24,12000,0,0,1,cluster1
170,47,135000,0,1,1,cluster0
171,26,45000,0,1,0,cluster0
172,38,70000,0,1,1,cluster0
173,51,120000,0,1,1,cluster0
174,25,200000,1,0,1,cluster1
175,38,54000,1,1,1,cluster0
176,38,34000,1,0,0,cluster1
177,40,35000,0,0,1,cluster1
178,25,60000,1,1,1,cluster0
179,24,43200,0,1,1,cluster0
180,34,115000,0,1,1,cluster0
181,31,55000,1,0,1,cluster1
182,26,42000,0,1,1,cluster0
183,33,50000,0,1,0,cluster0
184,32,12000,0,0,0,cluster1
185,23,26000,0,0,1,cluster1
186,29,40000,0,1,1,cluster0
187,27,75000,0,1,0,cluster0
188,21,60000,0,1,1,cluster0
189,23,32000,0,0,1,cluster1
190,38,15428,0,0,1,cluster1
191,29,50000,0,0,1,cluster1
192,27,7200,0,0,1,cluster1
193,27,14500,0,0,1,cluster1
194,30,17000,0,0,1,cluster1
195,26,19000,0,0,1,cluster1
196,43,65000,0,0,0,cluster1
197,17,24000,0,0,1,cluster1
198,33,130000,0,0,0,cluster1
199,20,6000,0,1,1,cluster0
200,30,14000,1,0,0,cluster1
201,28,22000,0,0,1,cluster1
202,29,60000,0,0,0,cluster1
203,27,28000,0,0,0,cluster1
204,21,24000,0,1,1,cluster0
205,26,40000,0,0,1,cluster1
206,30,6000,0,0,1,cluster1
207,26,48000,0,0,1,cluster1
208,27,17000,0,0,1,cluster1
209,26,70000,1,1,0,cluster0
210,36,115000,1,1,1,cluster0
211,33,40000,0,1,1,cluster0
212,25,30000,0,1,1,cluster0
213,26,15000,0,1,1,cluster0
214,33,84000,0,1,1,cluster0
215,42,40000,1,0,1,cluster1
216,28,16000,0,1,1,cluster0
217,45,116000,0,1,1,cluster0
218,28,10000,0,1,1,cluster0
219,31,40000,0,0,1,cluster1
220,30,82000,0,1,1,cluster0
221,33,13000,1,1,1,cluster0
222,35,70000,0,0,1,cluster1
223,24,63576,0,0,1,cluster1
224,31,50000,1,0,1,cluster1
225,35,54000,0,1,1,cluster0
226,34,55000,0,1,1,cluster0
227,28,8300,0,0,1,cluster1
228,23,10000,0,1,1,cluster0
229,18,7500,1,0,0,cluster1
230,26,43200,1,0,1,cluster1
231,30,11971,0,0,0,cluster1
232,29,9781,0,1,1,cluster0
233,29,12000,1,0,1,cluster1
234,30,60000,1,1,1,cluster0
235,24,67000,0,0,0,cluster1
236,27,8000,0,1,1,cluster0
237,29,30000,0,1,0,cluster0
238,33,10000,0,1,1,cluster0
239,24,6000,0,0,1,cluster1
240,24,8000,0,1,1,cluster0
241,27,15000,1,0,1,cluster1
242,20,10000,1,0,0,cluster1
243,35,100000,0,0,0,cluster1
244,50,40000,1,0,1,cluster1
245,34,44500,1,0,1,cluster1
246,35,90000,0,0,1,cluster1
247,25,58800,0,0,1,cluster1
248,26,58000,0,1,1,cluster0
249,28,50000,0,0,1,cluster1
250,28,27000,0,0,1,cluster1
251,24,25000,1,0,1,cluster1
252,26,20000,0,0,1,cluster1
253,27,155000,0,1,1,cluster0
254,22,6000,0,1,1,cluster0
255,29,17000,0,0,1,cluster1
256,26,6000,0,0,1,cluster1
257,49,62000,0,0,1,cluster1
258,35,52000,0,0,1,cluster1
259,56,18000,0,1,1,cluster0
260,35,65000,0,0,1,cluster1
261,26,10000,0,1,1,cluster0
