@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A5-N200-T1.0E-4_clustered

@attribute Instance_number numeric
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
97,-0.008996,0.009494,0.003813,-0.000853,1,cluster2
98,-0.018036,-0.004469,-0.0094,-0.007559,1,cluster2
99,-0.001175,0.012671,0.00662,-0.001244,1,cluster2
100,-0.012013,0.002609,-0.002752,-0.004639,1,cluster2
101,0.048163,0.009131,-0.014427,0.006412,1,cluster5
102,0.031,0.007108,-0.015793,0.010711,1,cluster5
103,-0.030466,-0.028121,-0.031881,-0.019878,0,cluster3
104,-0.001786,0.012119,-0.009806,0.025097,1,cluster1
105,-0.00997,0.00799,0.00239,-0.001575,0,cluster2
106,-0.011027,0.006358,0.000845,-0.00236,1,cluster2
107,0.002045,0.006907,-0.014987,0.020198,0,cluster1
108,0.025354,-0.021238,-0.005584,0.015147,0,cluster4
109,-0.009327,0.004531,-0.000984,-0.004196,1,cluster2
110,-0.003091,0.005652,-0.016025,0.021033,1,cluster1
111,0.002323,0.007336,-0.014581,0.020404,1,cluster1
112,0.009267,0.011383,-0.010901,0.02091,0,cluster1
113,0.003924,0.007582,-0.014398,0.020043,1,cluster1
114,-0.002565,0.010523,0.004587,-0.002276,1,cluster2
115,-0.029922,-0.029113,-0.048774,0.005773,1,cluster3
116,0.000889,0.007348,-0.01452,0.020889,1,cluster1
117,0.014877,-0.011117,-0.03289,0.003395,1,cluster6
118,-0.007433,0.003004,-0.002528,-0.005887,1,cluster2
119,0.025567,-0.007963,-0.030204,0.002035,1,cluster5
120,0.004572,-0.004773,-0.026389,0.011234,1,cluster6
121,0.025651,0.011809,0.004858,-0.010762,0,cluster2
122,0.008015,0.00945,-0.01273,0.019982,0,cluster1
123,-0.002009,0.011382,0.0054,-0.001863,1,cluster2
124,0.017036,0.010026,-0.012484,0.017383,1,cluster1
125,0.015314,0.002914,-0.019313,0.013009,0,cluster5
126,0.008469,-0.0036,-0.009474,-0.015767,1,cluster2
127,0.006678,0.011836,-0.010373,0.022086,1,cluster1
128,0.004541,-0.000762,-0.006589,-0.012487,1,cluster2
129,-0.013734,-0.004503,-0.009582,-0.009013,1,cluster2
130,-0.009327,0.004531,-0.000984,-0.004196,0,cluster2
