@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1}

@data
204,1.732051,0,1,cluster0
205,0,0,1,cluster0
206,0,0,1,cluster0
207,0,0,1,cluster0
208,0,0,1,cluster0
209,3.464102,1.732051,0,cluster1
210,3.464102,1.732051,1,cluster1
211,1.732051,0,1,cluster0
212,1.732051,0,1,cluster0
213,1.732051,0,1,cluster0
214,1.732051,0,1,cluster0
215,1.732051,1.732051,1,cluster1
216,1.732051,0,1,cluster0
217,1.732051,0,1,cluster0
218,1.732051,0,1,cluster0
219,0,0,1,cluster0
220,1.732051,0,1,cluster0
221,3.464102,1.732051,1,cluster1
222,0,0,1,cluster0
223,0,0,1,cluster0
224,1.732051,1.732051,1,cluster1
225,1.732051,0,1,cluster0
226,1.732051,0,1,cluster0
227,0,0,1,cluster0
228,1.732051,0,1,cluster0
229,1.732051,1.732051,0,cluster1
230,1.732051,1.732051,1,cluster1
231,0,0,0,cluster0
232,1.732051,0,1,cluster0
233,1.732051,1.732051,1,cluster1
234,3.464102,1.732051,1,cluster1
235,0,0,0,cluster0
236,1.732051,0,1,cluster0
237,1.732051,0,0,cluster0
238,1.732051,0,1,cluster0
239,0,0,1,cluster0
240,1.732051,0,1,cluster0
241,1.732051,1.732051,1,cluster1
242,1.732051,1.732051,0,cluster1
243,0,0,0,cluster0
244,1.732051,1.732051,1,cluster1
245,1.732051,1.732051,1,cluster1
246,0,0,1,cluster0
247,0,0,1,cluster0
248,1.732051,0,1,cluster0
249,0,0,1,cluster0
250,0,0,1,cluster0
251,1.732051,1.732051,1,cluster1
252,0,0,1,cluster0
253,1.732051,0,1,cluster0
254,1.732051,0,1,cluster0
255,0,0,1,cluster0
256,0,0,1,cluster0
257,0,0,1,cluster0
258,0,0,1,cluster0
259,1.732051,0,1,cluster0
260,0,0,1,cluster0
261,1.732051,0,1,cluster0
262,3.464102,1.732051,1,cluster1
263,1.732051,1.732051,1,cluster1
264,1.732051,1.732051,1,cluster1
265,0,0,0,cluster0
266,1.732051,0,1,cluster0
