@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
203,0,0,0,cluster3
204,1.732051,0,1,cluster1
205,0,0,1,cluster3
206,0,0,1,cluster3
207,0,0,1,cluster3
208,0,0,1,cluster3
209,3.464102,1.732051,0,cluster0
210,3.464102,1.732051,1,cluster0
211,1.732051,0,1,cluster1
212,1.732051,0,1,cluster1
213,1.732051,0,1,cluster1
214,1.732051,0,1,cluster1
215,1.732051,1.732051,1,cluster2
216,1.732051,0,1,cluster1
217,1.732051,0,1,cluster1
218,1.732051,0,1,cluster1
219,0,0,1,cluster3
220,1.732051,0,1,cluster1
221,3.464102,1.732051,1,cluster0
222,0,0,1,cluster3
223,0,0,1,cluster3
224,1.732051,1.732051,1,cluster2
225,1.732051,0,1,cluster1
226,1.732051,0,1,cluster1
227,0,0,1,cluster3
228,1.732051,0,1,cluster1
229,1.732051,1.732051,0,cluster2
230,1.732051,1.732051,1,cluster2
231,0,0,0,cluster3
232,1.732051,0,1,cluster1
233,1.732051,1.732051,1,cluster2
234,3.464102,1.732051,1,cluster0
235,0,0,0,cluster3
236,1.732051,0,1,cluster1
237,1.732051,0,0,cluster1
238,1.732051,0,1,cluster1
239,0,0,1,cluster3
240,1.732051,0,1,cluster1
241,1.732051,1.732051,1,cluster2
242,1.732051,1.732051,0,cluster2
243,0,0,0,cluster3
244,1.732051,1.732051,1,cluster2
245,1.732051,1.732051,1,cluster2
246,0,0,1,cluster3
247,0,0,1,cluster3
248,1.732051,0,1,cluster1
249,0,0,1,cluster3
250,0,0,1,cluster3
251,1.732051,1.732051,1,cluster2
252,0,0,1,cluster3
253,1.732051,0,1,cluster1
254,1.732051,0,1,cluster1
255,0,0,1,cluster3
256,0,0,1,cluster3
257,0,0,1,cluster3
258,0,0,1,cluster3
259,1.732051,0,1,cluster1
260,0,0,1,cluster3
261,1.732051,0,1,cluster1
262,3.464102,1.732051,1,cluster0
