@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.Remove-R3-4_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
188,21,60000,1,cluster0
189,23,32000,1,cluster0
190,38,15428,1,cluster4
191,29,50000,1,cluster0
192,27,7200,1,cluster1
193,27,14500,1,cluster1
194,30,17000,1,cluster1
195,26,19000,1,cluster1
196,43,65000,0,cluster5
197,17,24000,1,cluster1
198,33,130000,0,cluster3
199,20,6000,1,cluster1
200,30,14000,0,cluster1
201,28,22000,1,cluster1
202,29,60000,0,cluster2
203,27,28000,0,cluster1
204,21,24000,1,cluster1
205,26,40000,1,cluster0
206,30,6000,1,cluster1
207,26,48000,1,cluster0
208,27,17000,1,cluster1
209,26,70000,0,cluster2
210,36,115000,1,cluster3
211,33,40000,1,cluster4
212,25,30000,1,cluster1
213,26,15000,1,cluster1
214,33,84000,1,cluster2
215,42,40000,1,cluster4
216,28,16000,1,cluster1
217,45,116000,1,cluster3
218,28,10000,1,cluster1
219,31,40000,1,cluster0
220,30,82000,1,cluster2
221,33,13000,1,cluster4
222,35,70000,1,cluster2
223,24,63576,1,cluster0
224,31,50000,1,cluster0
225,35,54000,1,cluster2
226,34,55000,1,cluster2
227,28,8300,1,cluster1
228,23,10000,1,cluster1
229,18,7500,0,cluster1
230,26,43200,1,cluster0
231,30,11971,0,cluster1
232,29,9781,1,cluster1
233,29,12000,1,cluster1
234,30,60000,1,cluster2
235,24,67000,0,cluster0
236,27,8000,1,cluster1
237,29,30000,0,cluster1
238,33,10000,1,cluster4
239,24,6000,1,cluster1
240,24,8000,1,cluster1
241,27,15000,1,cluster1
242,20,10000,0,cluster1
243,35,100000,0,cluster3
244,50,40000,1,cluster5
245,34,44500,1,cluster4
246,35,90000,1,cluster3
247,25,58800,1,cluster0
248,26,58000,1,cluster0
249,28,50000,1,cluster0
250,28,27000,1,cluster1
251,24,25000,1,cluster1
252,26,20000,1,cluster1
253,27,155000,1,cluster6
254,22,6000,1,cluster1
255,29,17000,1,cluster1
256,26,6000,1,cluster1
257,49,62000,1,cluster5
258,35,52000,1,cluster2
259,56,18000,1,cluster5
260,35,65000,1,cluster2
261,26,10000,1,cluster1
262,31,55000,1,cluster2
263,26,16000,1,cluster1
264,31,30000,1,cluster4
265,33,70000,0,cluster2
266,27,10000,1,cluster1
267,28,12000,1,cluster1
268,26,130000,1,cluster3
269,26,35000,0,cluster0
270,22,10000,0,cluster1
271,37,12000,1,cluster4
272,22,57600,1,cluster0
273,21,60000,1,cluster0
274,45,42000,1,cluster5
275,28,9000,1,cluster1
276,17,24000,1,cluster1
277,32,22000,1,cluster4
278,53,85000,1,cluster5
279,29,40000,1,cluster0
280,32,12000,1,cluster4
281,20,43200,1,cluster0
282,25,40000,1,cluster0
283,42,9000,1,cluster4
284,27,26000,1,cluster1
285,35,38000,1,cluster4
286,36,30000,1,cluster4
287,28,32000,1,cluster0
288,32,24000,1,cluster4
289,30,60000,1,cluster2
290,36,54000,1,cluster2
291,23,60000,1,cluster0
292,29,56704,1,cluster2
293,28,50000,1,cluster0
294,22,60000,0,cluster0
295,26,24000,1,cluster1
296,31,22000,1,cluster4
297,28,20000,1,cluster1
298,35,15000,1,cluster4
299,25,35000,1,cluster0
300,32,200000,1,cluster6
301,22,60000,1,cluster0
302,20,35000,1,cluster0
303,33,70000,1,cluster2
304,28,35000,0,cluster0
305,39,57000,1,cluster2
306,28,43000,1,cluster0
307,28,30000,1,cluster1
308,24,10000,1,cluster1
309,40,70000,1,cluster2
310,27,12000,1,cluster1
311,23,35000,1,cluster0
312,29,50000,1,cluster0
313,33,6000,1,cluster4
314,55,120000,1,cluster3
315,28,10000,1,cluster1
316,28,16000,1,cluster1
317,30,12000,1,cluster1
318,35,15000,1,cluster4
319,25,15600,0,cluster1
320,46,55000,0,cluster5
321,22,35000,1,cluster0
322,26,60000,0,cluster0
323,25,90000,0,cluster2
324,24,50000,1,cluster0
