Type,Code,Area,All Residents,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
England and Wales District,E07000062,Hastings,90254,5570,4772,5317,5759,5769,5621,5217,5732,6728,6772,6109,5395,6092,4525,3424,2824,2212,1515,901
England and Wales District,E07000063,Lewes,97502,5052,5229,5551,5579,4679,4596,4534,5478,6895,7498,6652,6391,7214,5981,4908,4271,3460,2232,1302
England and Wales District,E07000064,Rother,90588,3999,4096,5119,5038,3632,3377,3184,4110,5732,6545,6014,6017,7962,6696,5569,4839,4035,2836,1788
England and Wales District,E07000065,Wealden,148915,7508,8100,9023,8808,6306,6161,6132,8046,10780,11842,10606,9846,11615,9944,7634,6450,5020,3180,1914
England and Wales District,E07000066,Basildon,174497,11405,10665,10891,11038,10089,10936,11562,11923,13215,13085,11571,9732,10497,7892,6593,5713,4155,2375,1160
England and Wales District,E07000067,Braintree,147084,9467,8729,8943,8669,7957,8373,8725,10042,11720,11358,9673,9048,9967,7418,5615,4376,3496,2258,1250
England and Wales District,E07000068,Brentwood,73601,3926,4057,4585,4495,3648,3819,4229,4784,5602,6147,5147,4354,4759,3701,3192,2786,2180,1453,737
England and Wales District,E07000069,Castle Point,88011,4173,4395,5188,5477,4740,4212,4130,5133,6349,6517,5918,5642,7136,5799,4686,3666,2536,1532,782
England and Wales District,E07000070,Chelmsford,168310,9994,9531,9747,10254,9875,10643,10531,11787,12844,12910,11157,10047,10972,8239,6469,5446,4092,2495,1277
England and Wales District,E07000071,Colchester,173074,10647,9403,9606,11711,13886,11947,11366,11633,12621,12217,10488,9399,10842,8200,6243,5216,3931,2398,1320
England and Wales District,E07000072,Epping Forest,124659,7366,6831,7235,7384,6663,6624,7517,8378,9647,9925,8625,7619,8295,6426,5038,4274,3469,2178,1165
England and Wales District,E07000073,Harlow,81944,6020,4917,4929,5044,4858,5970,5942,5706,6051,5984,5442,4633,4143,3136,2777,2644,2139,1085,524
England and Wales District,E07000074,Maldon,61629,3027,3261,3726,3562,2883,2480,2833,3707,4890,4835,4611,4339,5101,4027,2949,2317,1562,916,603
England and Wales District,E07000075,Rochford,83287,4369,4368,5141,5130,4138,3729,4199,5298,6576,6510,5736,5308,6106,4852,3981,3332,2393,1435,686
England and Wales District,E07000076,Tendring,138048,6753,6502,7671,7970,6709,5672,5578,6856,8732,9434,8825,8725,11348,10221,8607,7185,5612,3653,1995
England and Wales District,E07000077,Uttlesford,79443,4649,4932,5339,5047,3601,3602,4195,5147,6412,6672,5981,4961,5330,4196,3066,2485,1921,1193,714
England and Wales District,E07000078,Cheltenham,115732,6486,5689,6201,7556,9185,9324,8296,7715,8022,8230,7051,6263,6385,5090,4321,3628,2964,2161,1165
England and Wales District,E07000079,Cotswold,82881,3929,4126,4746,4801,3837,3416,3502,4926,6201,6564,6182,5783,6379,5280,4146,3492,2789,1816,966
England and Wales District,E07000080,Forest of Dean,81961,4055,4119,4779,5518,4200,3601,3530,4687,6120,6353,5932,5700,6381,5290,4090,3138,2236,1455,777
England and Wales District,E07000081,Gloucester,121688,8239,7113,7274,7903,8402,8720,8181,8200,9232,9188,7997,6589,6585,5324,4152,3360,2732,1708,789
England and Wales District,E07000082,Stroud,112779,6113,6166,6791,6885,5246,4910,5438,7194,8815,8978,8303,7671,8292,6574,5107,4122,3110,2015,1049
England and Wales District,E07000083,Tewkesbury,81943,4616,4327,4688,4468,4088,4023,4437,5263,6280,6522,5754,5251,5717,4835,4001,3083,2322,1516,752
England and Wales District,E07000084,Basingstoke and Deane,167799,11355,9947,10369,9610,8910,11034,11448,12379,13687,13738,11439,9543,10189,7700,5747,4583,3223,1945,953
England and Wales District,E07000085,East Hampshire,115608,6209,6512,7305,7331,5382,5101,5497,7006,8762,9639,8772,7553,8236,6647,5159,4122,3191,2045,1139
England and Wales District,E07000086,Eastleigh,125199,7737,6983,7399,7527,7269,7295,7848,8645,9351,9750,8843,7647,8074,5980,4951,3974,3136,1838,952
England and Wales District,E07000087,Fareham,111581,5578,5798,6696,6683,5761,5406,5474,6985,8584,8990,8053,6961,7836,6577,5244,4491,3387,2024,1053
England and Wales District,E07000088,Gosport,82622,5425,4725,4936,5110,4979,5405,4954,5430,5942,6147,5688,4603,5172,3948,3255,2858,2054,1327,664
England and Wales District,E07000089,Hart,91033,5663,5734,5795,5188,4261,4542,5296,6959,7373,7653,6316,5354,5881,4732,3692,2782,1970,1209,633
England and Wales District,E07000090,Havant,120684,6710,6392,7195,7615,6798,6444,5891,6676,8434,8906,8485,7517,8196,7011,5854,5147,3987,2254,1172
England and Wales District,E07000091,New Forest,176462,8592,8512,9665,9726,8146,7544,7840,9664,11681,13216,12097,11748,13889,11741,9685,8428,6956,4681,2651
England and Wales District,E07000092,Rushmoor,93807,6747,5568,5440,6016,6682,7282,7494,7610,7475,7201,5665,4572,4611,3476,2766,2043,1583,1015,561
England and Wales District,E07000093,Test Valley,116398,6711,6596,7117,7081,5694,5399,5988,7712,8966,9706,8392,7316,8323,6640,4995,4013,2912,1826,1011
England and Wales District,E07000094,Winchester,116595,6580,6497,6953,8134,7517,5635,6231,7491,8288,8899,7985,6934,7672,6193,4971,4046,3286,2069,1214
England and Wales District,E07000095,Broxbourne,93609,6175,5550,5903,5830,5620,5671,6088,6338,7383,7229,6129,5048,5349,4324,3721,3136,2300,1246,569
England and Wales District,E07000096,Dacorum,144847,9718,8408,8862,8715,7919,8671,9425,10437,11079,11403,10211,8742,8374,6274,5036,4618,3580,2267,1108
England and Wales District,E07000097,East Hertfordshire,137687,8299,8257,9096,8638,6411,7328,8688,10155,11608,11835,9780,7993,8346,6236,4971,4204,3044,1824,974
England and Wales District,E07000098,Hertsmere,100031,6707,5969,6212,6117,5869,6099,6309,6908,7466,7899,6690,5680,5778,4475,3523,3096,2578,1748,908
England and Wales District,E07000099,North Hertfordshire,127114,8027,7401,7669,7370,6126,7582,8262,9359,9896,10189,8530,7234,7758,5950,4883,4381,3120,2215,1162
England and Wales District,E07000100,St Albans,140664,10296,9082,8926,7972,6342,7831,9626,11242,11541,10981,9223,7916,7910,6031,5018,4214,3319,2092,1102
England and Wales District,E07000101,Stevenage,83957,5906,4971,5100,5591,5448,6089,5703,5645,6425,6790,5763,4500,4154,3241,2753,2464,1867,1035,512
England and Wales District,E07000102,Three Rivers,87317,5433,5249,5673,5299,4357,4716,5412,6124,6733,7164,6000,5137,5314,4001,3326,3007,2160,1425,787
England and Wales District,E07000103,Watford,90301,6730,5436,5298,5302,5711,8053,8141,7315,7013,6409,5361,4385,3996,3143,2600,2153,1676,1013,566
England and Wales District,E07000104,Welwyn Hatfield,110535,6775,6033,6085,8227,11436,7765,7152,6807,7483,7790,6871,5672,5500,4310,3774,3545,2786,1655,869
England and Wales District,E07000105,Ashford,117956,7771,7358,7838,7621,6245,6470,6548,7559,9483,9196,7471,6749,7679,6195,4614,3697,2729,1792,941
England and Wales District,E07000106,Canterbury,151145,7514,7506,8393,13309,16222,8658,7258,7878,9506,9686,8727,8387,9656,7950,6391,5198,4342,2921,1643
England and Wales District,E07000107,Dartford,97365,6765,5979,5922,6005,6199,7081,7123,7067,7651,7332,6132,5064,5093,3890,3208,2843,2134,1240,637
England and Wales District,E07000108,Dover,111674,6259,5879,6657,7005,5844,5891,5729,6328,7878,8422,7751,7290,8224,6725,5196,4149,3254,2022,1171
England and Wales District,E07000109,Gravesham,101720,6647,6275,6529,6723,6502,6618,6369,6638,7666,7584,6437,5568,5874,4631,3886,3350,2375,1348,700
England and Wales District,E07000110,Maidstone,155143,9553,8785,9443,9271,8633,9641,9582,10212,11910,11852,10300,9246,10201,7997,6272,4993,3738,2285,1229
England and Wales District,E07000111,Sevenoaks,114893,6976,6933,7093,6877,5232,5234,6263,7374,8740,9084,8030,7202,8188,6318,4966,4194,3252,1908,1029
England and Wales District,E07000112,Shepway,107969,5996,5575,6331,6590,6200,5591,5601,6234,7697,7815,7166,6616,8142,6418,5175,4124,3289,2141,1268
England and Wales District,E07000113,Swale,135835,8747,7972,8780,8710,7790,8180,7775,8495,10072,10502,8979,7986,9224,7180,5511,4168,3105,1744,915
England and Wales District,E07000114,Thanet,134186,8093,7241,8570,8593,7396,7320,6813,7347,8932,9346,8461,8080,9581,7908,6401,5238,4333,2866,1667
England and Wales District,E07000115,Tonbridge and Malling,120805,7447,7668,8169,8078,5841,5804,6599,8450,9831,9668,8330,6900,7593,6088,4953,4033,2917,1580,856
England and Wales District,E07000116,Tunbridge Wells,115049,7308,6976,7671,7204,5575,6809,6974,8113,9191,9071,7652,6401,7029,5487,4157,3545,2948,1836,1102
England and Wales District,E07000117,Burnley,87059,5847,5167,5040,5540,5574,5751,5315,5442,6222,6143,5804,5239,5841,4225,3370,2622,1984,1276,657
England and Wales District,E07000118,Chorley,107155,6203,5963,6076,6141,6122,6210,6270,7652,8416,8429,7357,6689,7665,5944,4437,3246,2174,1407,754
England and Wales District,E07000119,Fylde,75757,3612,3577,4008,4087,3393,3591,3452,4165,5361,6009,5548,4916,5695,5012,4118,3569,2947,1771,926
England and Wales District,E07000120,Hyndburn,80734,5427,5002,5057,5280,5041,5287,4972,5268,6089,5822,5057,4569,5054,4020,3053,2385,1798,1043,510
England and Wales District,E07000121,Lancaster,138375,7232,6467,7714,11273,13194,7969,7366,7645,9280,9626,8659,7850,8735,7186,6070,4922,3650,2348,1189
England and Wales District,E07000122,Pendle,89452,6362,5463,5359,5485,5722,6301,5722,5557,6146,5979,5747,5283,5976,4307,3355,2670,2116,1292,610
England and Wales District,E07000123,Preston,140202,9323,7938,7940,10449,14062,10750,9322,9048,9746,9730,8396,7168,7084,5303,4606,3925,2863,1748,801
England and Wales District,E07000124,Ribble Valley,57132,2881,3103,3805,3558,2685,2414,2361,3356,4456,4750,4223,3758,4251,3497,2767,2216,1572,965,514
England and Wales District,E07000125,Rossendale,67982,4329,3903,4052,4309,3869,3940,4029,4565,5361,5271,4733,4359,4721,3364,2441,1932,1453,914,437
England and Wales District,E07000126,South Ribble,109057,6331,5883,6359,6473,6349,6290,6119,7400,8336,8584,7284,6727,7510,5896,4811,3607,2744,1629,725
England and Wales District,E07000127,West Lancashire,110685,5998,5935,6685,7724,7196,5447,5051,6661,8008,8545,7731,6943,7886,6470,5294,4020,2734,1558,799
England and Wales District,E07000128,Wyre,107749,5046,5164,5788,6563,5387,4869,4794,5500,7422,7968,7505,6956,8162,7347,6474,5207,4021,2429,1147
England and Wales District,E07000129,Blaby,93915,5446,5324,5590,5872,4990,5005,5134,6368,7451,7365,6492,5646,6357,5026,4073,3260,2397,1447,672
England and Wales District,E07000130,Charnwood,166100,9120,8279,8924,12886,16121,10079,9261,10126,11758,11794,10507,9650,10333,8064,6287,5219,4036,2372,1284
England and Wales District,E07000131,Harborough,85382,4665,5015,5527,5156,3701,3700,4143,5565,7119,7310,6179,5650,6061,4829,3641,2872,2147,1389,713
England and Wales District,E07000132,Hinckley and Bosworth,105078,5778,5519,6014,5984,5376,5767,5922,6818,8085,8290,7316,6966,7910,6027,4547,3543,2773,1674,769
England and Wales District,E07000133,Melton,50376,2786,2685,3033,2984,2535,2537,2592,2996,4032,4272,3648,3357,3662,2826,2149,1731,1288,863,400
England and Wales District,E07000134,North West Leicestershire,93468,5477,5421,5642,5411,4739,4939,5124,6488,7569,7529,6358,5940,6599,5201,3796,2934,2209,1418,674
England and Wales District,E07000135,Oadby and Wigston,56170,2882,2803,3370,5006,3463,3023,2964,3159,3907,4310,3746,3218,3432,2803,2522,2293,1734,1019,516
England and Wales District,E07000136,Boston,64637,3841,3223,3527,3685,3942,4372,3850,3892,4347,4539,4208,4074,4395,3735,3038,2422,1922,1096,529
England and Wales District,E07000137,East Lindsey,136401,6202,5999,7168,7540,6433,5876,5496,6672,8605,9644,9447,9570,12310,11212,8737,6683,4753,2703,1351
England and Wales District,E07000138,Lincoln,93541,5514,4303,4548,7706,11198,7915,6363,5582,5901,6181,5384,4746,4874,3709,3004,2472,2075,1335,731
England and Wales District,E07000139,North Kesteven,107766,5483,5584,6591,6299,5068,5341,5346,6610,8486,8692,7343,6540,7891,6849,5559,4213,3090,1858,923
England and Wales District,E07000140,South Holland,88270,4488,4295,4982,4928,4523,4705,4668,5303,6150,6595,5843,5548,6579,5462,4767,3933,2920,1695,886
England and Wales District,E07000141,South Kesteven,133788,7432,7174,8262,8123,6251,6809,7069,8374,10200,10600,9616,8654,9664,7889,5905,4640,3583,2379,1164
England and Wales District,E07000142,West Lindsey,89250,4391,4508,5392,5643,4141,3915,4032,4943,6601,7193,6576,6218,7068,5963,4444,3524,2537,1401,760
England and Wales District,E07000143,Breckland,130491,7412,6433,7411,7632,7303,7334,6751,7576,9026,9536,8255,7913,9771,8088,6719,5426,4043,2544,1318
England and Wales District,E07000144,Broadland,124646,6053,6239,7173,7087,5482,5345,6114,7689,9355,9775,8640,8171,9707,7931,6533,5413,4108,2499,1332
England and Wales District,E07000145,Great Yarmouth,97277,5528,4930,5584,6241,5942,5731,4879,5261,6533,6826,6162,6061,7228,6111,4746,3861,2951,1812,890
England and Wales District,E07000146,King`s Lynn and West Norfolk,147451,7970,7261,7888,8197,8069,8285,7413,8285,9872,10432,9453,9232,11253,9715,8078,6618,4966,3016,1448
England and Wales District,E07000147,North Norfolk,101499,4327,4150,4954,5354,4542,4279,3863,4645,6088,6773,6867,7221,9239,8211,6609,5794,4411,2682,1490
England and Wales District,E07000148,Norwich,132512,8425,6267,5809,8838,15289,12794,10521,8987,8592,7820,6878,6430,6517,5043,4199,3684,3128,2134,1157
England and Wales District,E07000149,South Norfolk,124012,6816,6377,7557,7265,5357,5740,6200,7608,9031,9403,8529,8033,9573,7939,6204,5046,3842,2381,1111
England and Wales District,E07000150,Corby,61255,4519,3610,3748,3806,3924,4786,4231,4075,4597,4839,4079,3528,3201,2619,2105,1622,1110,634,222
England and Wales District,E07000151,Daventry,77843,4350,4522,4889,4863,3797,3588,3870,5126,6481,6590,5737,5138,5715,4394,3131,2338,1724,1042,548
England and Wales District,E07000152,East Northamptonshire,86765,5233,5138,5589,5670,4028,4250,4753,5985,7163,6864,5858,5385,6244,4614,3421,2626,1963,1280,701
England and Wales District,E07000153,Kettering,93475,6256,5685,5564,5493,4993,5797,5940,6748,7432,7041,5870,5448,6214,4687,3418,2700,2069,1384,736
England and Wales District,E07000154,Northampton,212069,15845,12564,12138,13293,15345,16950,16250,15724,15096,15299,12662,11083,11605,8344,6497,5278,4057,2653,1386
England and Wales District,E07000155,South Northamptonshire,85189,4771,5201,5507,4978,3589,3603,4299,5883,7242,7359,6420,5598,6340,4754,3342,2588,1909,1190,616
England and Wales District,E07000156,Wellingborough,75356,5038,4474,4595,4397,4018,4645,4688,5250,5790,5610,4855,4577,5085,3921,2882,2250,1701,1069,511
England and Wales District,E07000163,Craven,55409,2528,2692,3317,3230,2403,2292,2298,3041,4045,4354,4174,3979,4446,3687,2818,2375,1841,1242,647
England and Wales District,E07000164,Hambleton,89140,4348,4536,5118,5177,4431,4197,3954,4870,6419,7394,6466,6102,6887,5748,4709,3647,2720,1599,818
England and Wales District,E07000165,Harrogate,157869,8677,8708,9432,9389,7384,8169,8379,9948,12228,12830,11307,9850,10674,8694,7202,5889,4493,2927,1689
England and Wales District,E07000166,Richmondshire,51965,2910,2810,2949,3529,4252,3467,2751,2964,3654,3667,3329,3064,3543,2797,2233,1730,1212,717,387
England and Wales District,E07000167,Ryedale,51751,2385,2473,3024,3187,2203,2085,2130,2687,3666,4025,3741,3742,4351,3604,2829,2338,1743,1000,538
England and Wales District,E07000168,Scarborough,108793,5317,5071,5718,6540,6268,5367,4703,5655,6933,7998,7683,7500,8720,7212,6099,4821,3713,2259,1216
England and Wales District,E07000169,Selby,83449,4875,4559,4852,5007,4453,4346,4420,5518,6651,7053,6289,5419,6001,4463,3239,2655,1899,1147,603
England and Wales District,E07000170,Ashfield,119497,7413,6663,7181,7345,7064,7104,7110,7876,9367,9375,8009,7172,7580,6547,5030,3698,2542,1623,798
England and Wales District,E07000171,Bassetlaw,112863,6105,5826,6816,7099,6021,6027,5918,7051,8568,9053,7994,7356,8088,6508,5036,3962,2880,1721,834
England and Wales District,E07000172,Broxtowe,109487,6163,5301,5848,6455,6722,6625,6541,7272,8259,8480,7489,6686,7548,5930,4803,3858,2846,1771,890
England and Wales District,E07000173,Gedling,113543,6470,5986,6560,6805,6002,6205,6639,7295,8676,8839,8005,7290,7755,6024,5090,4133,3042,1891,836
England and Wales District,E07000174,Mansfield,104466,6399,5471,5852,6536,6518,6799,6291,6535,7679,8164,7325,6438,6513,5450,4203,3462,2601,1527,703
England and Wales District,E07000175,Newark and Sherwood,114817,6317,6267,6872,7004,6061,5971,5785,7216,8857,8974,8143,7351,8214,6722,5251,4069,3014,1804,925
England and Wales District,E07000176,Rushcliffe,111129,6392,6233,6621,6610,6174,5320,6165,7367,8646,8947,7785,7035,7411,6006,4621,3949,3017,1931,899
England and Wales District,E07000177,Cherwell,141868,9819,8296,8588,8408,7590,9577,9713,10145,11116,11104,9284,8088,8441,6316,5230,4205,3129,1851,968
England and Wales District,E07000178,Oxford,151906,9251,7406,7114,12912,22554,17096,12863,9623,8854,8494,7027,6148,5924,4583,3769,3066,2525,1742,955
England and Wales District,E07000179,South Oxfordshire,134257,8213,7843,8210,7741,6214,7155,7561,9212,10807,10763,9353,8083,8722,7255,5785,4591,3374,2195,1180
England and Wales District,E07000180,Vale of White Horse,120988,7411,6727,7367,7417,5927,6959,7332,7899,8946,9404,8418,7440,7980,6317,5054,4205,3133,1979,1073
England and Wales District,E07000181,West Oxfordshire,104779,6362,5759,6056,5998,5308,6043,6162,6979,8068,8428,7184,6223,6947,5685,4428,3619,2790,1756,984
England and Wales District,E07000187,Mendip,109279,5915,5913,6988,7590,5359,5114,5100,6284,8167,8625,7763,7227,7956,6210,4839,4001,3063,2089,1076
England and Wales District,E07000188,Sedgemoor,114588,6321,5961,6868,7109,6193,5671,5473,6301,8249,8859,8051,7585,8482,6932,5514,4366,3387,2174,1092
England and Wales District,E07000189,South Somerset,161243,8771,8389,9424,9588,8513,8127,7860,9242,11202,11747,10808,10495,12252,10083,7907,6490,5260,3308,1777
England and Wales District,E07000190,Taunton Deane,110187,6266,5843,6389,7222,6226,6047,5877,6628,7739,8077,7442,6915,7504,6048,4776,4152,3495,2261,1280
England and Wales District,E07000191,West Somerset,34675,1444,1381,1640,1799,1744,1549,1272,1376,1968,2342,2413,2554,3113,2852,2302,1901,1473,1021,531
England and Wales District,E07000192,Cannock Chase,97462,5871,5405,5861,6244,5893,6129,5738,6700,7931,7754,6387,5783,6109,5044,3860,2821,2145,1227,560
England and Wales District,E07000193,East Staffordshire,113583,7002,6556,6694,7184,6722,7199,6846,7349,8657,8838,7780,6630,6995,5740,4629,3713,2729,1554,766
England and Wales District,E07000194,Lichfield,100654,5285,5381,5753,5888,5232,5013,5291,6340,7619,7832,6782,6459,7525,6893,5061,3570,2460,1481,789
England and Wales District,E07000195,Newcastle-under-Lyme,123871,6314,6368,6971,8535,9545,6937,6708,7642,8919,9166,8209,7615,8434,6620,5410,4431,3202,1945,900
England and Wales District,E07000196,South Staffordshire,108131,4878,5210,6236,6655,6035,4972,4785,6363,8149,8789,8069,7316,8169,7051,5666,4251,2907,1763,867
England and Wales District,E07000197,Stafford,130869,7007,6583,7200,7853,8009,7102,7124,8225,10030,10127,8900,8268,9167,7825,6120,4595,3443,2100,1191
England and Wales District,E07000198,Staffordshire Moorlands,97106,4671,4800,5377,5632,4760,4467,4596,5864,7611,7606,6824,6678,7839,6381,4979,3866,2685,1618,852
England and Wales District,E07000199,Tamworth,76813,5061,4542,4789,4792,4744,5181,4845,5408,5911,5511,5048,4850,4987,3733,2777,2032,1428,808,366
England and Wales District,E07000200,Babergh,87740,4451,4868,5476,5121,3958,3795,4118,5228,6498,6742,5900,5843,6986,5695,4315,3491,2705,1660,890
England and Wales District,E07000201,Forest Heath,59748,4123,3223,3092,2960,4675,5508,4574,3993,3952,3883,3408,3081,3582,2756,2307,1882,1450,909,390
England and Wales District,E07000202,Ipswich,133384,9250,7630,7552,8636,9562,10877,9963,9124,9425,8991,8184,7223,7137,5239,4362,3880,3231,2011,1107
England and Wales District,E07000203,Mid Suffolk,96731,5266,5394,5883,5629,4537,4585,4770,5729,7103,7488,6894,6436,7546,6036,4601,3639,2641,1675,879
England and Wales District,E07000204,St Edmundsbury,111008,6663,6035,6337,6466,6493,7211,6548,7009,8219,8276,6827,6427,7507,6282,4993,3841,2958,1832,1084
England and Wales District,E07000205,Suffolk Coastal,124298,6243,6485,7547,7342,5325,4992,5471,6872,8716,9439,8849,8294,9918,8098,6556,5578,4341,2702,1530
England and Wales District,E07000206,Waveney,115254,6230,5861,6417,6754,5963,5714,5470,6374,7807,7819,7322,7100,8930,7714,6287,5319,4114,2585,1474
England and Wales District,E07000207,Elmbridge,130875,9358,8639,8315,7155,5109,6036,8430,10219,10958,11045,9006,7419,7668,5818,4722,4043,3273,2344,1318
England and Wales District,E07000208,Epsom and Ewell,75102,4628,4415,4737,4684,4182,3952,4640,5368,5904,6005,4972,4274,4766,3502,2872,2416,1851,1249,685
England and Wales District,E07000209,Guildford,137183,8110,7525,7466,8947,11292,9268,9210,9752,9795,10063,8779,7652,7931,5966,4892,4134,3195,2020,1186
England and Wales District,E07000210,Mole Valley,85375,4604,4732,5348,5012,3559,3753,4330,5269,6502,7019,6191,5452,5930,4957,3915,3457,2660,1704,981
England and Wales District,E07000211,Reigate and Banstead,137835,9153,8091,8218,7676,6965,8147,9676,10118,10703,10946,9110,7833,8466,6263,4918,4282,3419,2427,1424
England and Wales District,E07000212,Runnymede,80510,4802,4068,4147,5461,6967,4512,5137,5789,5832,6021,5277,4412,4617,3664,2944,2757,2046,1350,707
England and Wales District,E07000213,Spelthorne,95598,6017,5165,5175,5396,5179,5940,6605,6653,7442,7845,6471,5419,5611,4537,3970,3332,2509,1547,785
England and Wales District,E07000214,Surrey Heath,86144,5129,5153,5464,5131,4207,4581,5072,6133,7101,7144,6146,5191,5287,4267,3401,2954,1955,1182,646
England and Wales District,E07000215,Tandridge,82998,4886,4715,5391,4984,3997,3905,4572,5281,6402,6789,5900,5209,5612,4499,3391,2807,2367,1417,874
England and Wales District,E07000216,Waverley,121572,7341,7335,7727,7910,5101,5248,6384,8348,9333,9432,8300,7255,8036,6710,5251,4585,3405,2368,1503
England and Wales District,E07000217,Woking,99198,7278,6003,5578,5320,4961,6812,7803,8103,7687,7418,6494,5443,5455,4090,3290,2883,2254,1527,799
England and Wales District,E07000218,North Warwickshire,62014,3285,3209,3730,3658,3219,3281,3164,4044,4864,5006,4496,4177,4496,3718,2788,2064,1490,913,412
England and Wales District,E07000219,Nuneaton and Bedworth,125252,7925,7019,7412,7891,7453,7971,7777,8294,9336,9459,8179,7586,8028,6707,5061,3918,2843,1611,782
England and Wales District,E07000220,Rugby,100075,6269,5648,6149,6174,5182,6322,6319,6932,7636,7812,6602,5634,6062,5401,4003,3064,2492,1545,829
England and Wales District,E07000221,Stratford-on-Avon,120485,5965,6176,6849,6737,5257,5382,5558,7242,8897,9596,8718,8187,9341,8117,6149,4931,3761,2317,1305
England and Wales District,E07000222,Warwick,137648,7920,7128,7127,8025,11623,9321,9220,9552,10083,10131,8571,7707,8190,6711,5171,4280,3445,2277,1166
England and Wales District,E07000223,Adur,61182,3537,3110,3173,3540,2982,3131,3363,3947,4532,4450,4003,3679,4301,3658,3057,2602,2082,1348,687
England and Wales District,E07000224,Arun,149518,7386,6968,7416,7931,7443,7314,7190,8113,10123,10463,9404,9080,11359,10264,8971,7558,6037,4116,2382
England and Wales District,E07000225,Chichester,113794,5652,5630,6092,6517,6200,5150,5205,6121,7497,8312,7795,7179,8550,7551,6219,5515,4317,2761,1531
England and Wales District,E07000226,Crawley,106597,8071,6486,6244,6219,6816,9044,9150,8120,8102,7557,6689,5469,5162,3407,2860,2703,2451,1421,626
England and Wales District,E07000227,Horsham,131301,7151,7251,8469,7876,5660,5858,6732,8200,10310,10978,9784,8353,9109,7279,5851,4903,3814,2356,1367
England and Wales District,E07000228,Mid Sussex,139860,8343,8175,8755,8225,6490,7510,8043,9451,11006,11114,9536,8617,9288,7356,5448,4726,3879,2425,1473
England and Wales District,E07000229,Worthing,104640,6346,5559,5584,5659,5497,6013,6415,6938,7933,7919,6775,5852,6576,5344,4597,3986,3569,2504,1574
England and Wales District,E07000234,Bromsgrove,93637,4822,4920,5529,5752,4677,4250,4451,5919,7273,7548,6678,6226,6457,5503,4332,3673,2862,1771,994
England and Wales District,E07000235,Malvern Hills,74631,3297,3643,4448,4818,3146,2919,2939,3849,5157,5705,5428,5144,6157,5095,4179,3369,2627,1781,930
England and Wales District,E07000236,Redditch,84214,5629,4886,4996,5076,5175,5995,6022,5904,6042,5901,5470,5618,5616,4052,2699,2046,1603,986,498
England and Wales District,E07000237,Worcester,98768,6359,5572,5445,6575,7417,7080,6939,7028,7463,7248,6029,5444,5560,4248,3452,2901,2016,1305,687
England and Wales District,E07000238,Wychavon,116944,5743,6021,6679,6719,5361,5368,5455,6872,8866,9340,8323,8088,9094,7491,5966,4603,3529,2244,1182
England and Wales District,E07000239,Wyre Forest,97975,5256,4971,5416,5534,5142,5271,5071,6061,7351,7129,6161,6345,7804,6692,4912,3718,2634,1673,834
England and Wales District,E08000001,Bolton,276786,18765,16878,17793,17922,18071,18285,17195,18544,20981,20058,17565,15344,16845,13034,10519,7931,5728,3652,1676
England and Wales District,E08000002,Bury,185060,12235,11108,11361,11545,10688,11622,11483,12314,14180,14354,12337,10581,11712,8968,7324,5616,4007,2397,1228
England and Wales District,E08000003,Manchester,503127,36413,28617,26785,38302,66998,56595,45004,33970,32466,28637,23927,19633,18236,13191,11576,9378,7026,4226,2147
England and Wales District,E08000004,Oldham,224897,16491,15422,15337,15056,14586,15177,14020,14431,16494,15699,14128,12228,12875,10027,8253,6068,4397,2760,1448
England and Wales District,E08000005,Rochdale,211699,14754,13148,13925,14425,14005,14111,13367,13846,15701,15071,13710,12366,12454,9161,7481,5911,4456,2632,1175
England and Wales District,E08000006,Salford,233933,16255,13011,12969,15103,19537,20989,17158,15407,16236,16106,14035,11563,12358,9498,8045,6410,4734,3012,1507
England and Wales District,E08000007,Stockport,283275,17342,15808,16759,16875,15184,15896,17124,18582,21363,22206,19670,17176,18263,14277,12238,10122,7640,4441,2309
England and Wales District,E08000008,Tameside,219324,14439,12455,13029,13987,13744,14320,13588,14467,16827,17066,14721,12613,13867,10526,8518,6456,4521,2822,1358
England and Wales District,E08000009,Trafford,226578,14870,14032,14076,13526,11776,13764,15010,16430,17781,18223,15281,12722,12814,9759,8566,7240,5659,3371,1678
England and Wales District,E08000010,Wigan,317849,19681,18044,18270,19570,19310,20174,19030,21461,25621,24750,20778,18312,21199,17181,13138,9541,6389,3682,1718
England and Wales District,E08000011,Knowsley,145893,9121,8312,9200,10123,9846,9229,8166,8694,10509,11500,10986,8984,8209,6164,5780,5147,3559,1688,676
England and Wales District,E08000012,Liverpool,466415,26099,22254,24315,34572,50636,39966,33053,28069,30893,32022,29288,25364,24418,17685,16342,13967,9742,5307,2423
England and Wales District,E08000013,St. Helens,175308,10269,9271,10212,10959,10522,10501,9747,11459,12931,13174,11727,10881,12255,9596,8016,6129,4165,2402,1092
England and Wales District,E08000014,Sefton,273790,14601,13768,15672,16642,15915,14915,13445,15389,18772,21160,20290,17790,18420,15058,13715,11879,8833,4931,2595
