Type,Code,Area,All Residents,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
England County,E10000029,Suffolk,728163,42226,39496,42304,42908,40513,42682,40914,44329,51720,52638,47384,44404,51606,41820,33421,27630,21440,13374,7354
England County,E10000030,Surrey,1132390,71306,65841,67566,67676,61519,62154,71859,81033,87659,89727,76646,65559,69379,54273,43566,37650,28934,19135,10908
England County,E10000031,Warwickshire,545474,31364,29180,31267,32485,32734,32277,32038,36064,40816,42004,36566,33291,36117,30654,23172,18257,14031,8663,4494
England County,E10000032,West Sussex,806892,46486,43179,45733,45967,41088,44020,46098,50890,59503,60793,53986,48229,54345,44859,37003,31993,26149,16931,9640
England County,E10000034,Worcestershire,566169,31106,30013,32513,34474,30918,30883,30877,35633,42152,42871,38089,36865,40688,33081,25540,20310,15271,9760,5125
England and Wales District,E09000001,City of London,7375,236,182,169,197,545,956,820,598,627,600,471,476,463,329,258,185,146,75,42
England and Wales District,E09000002,Barking and Dagenham,185911,18676,14331,12757,12585,13053,14971,15241,14506,13716,12216,10012,7727,6799,4950,4326,3779,3203,2102,961
England and Wales District,E09000003,Barnet,356386,26239,22352,21293,20580,23913,31425,30171,27104,26589,23979,20848,17549,16912,13326,10397,9034,7000,4785,2890
England and Wales District,E09000004,Bexley,231997,15182,14015,15018,15828,14832,14041,14473,14992,17681,17994,15495,12439,12795,9916,8779,7481,5927,3403,1706
England and Wales District,E09000005,Brent,311215,22446,18648,17942,18589,24198,34698,30190,24324,21774,20546,18473,14443,12268,9580,8364,6684,4453,2408,1187
England and Wales District,E09000006,Bromley,309392,20095,18061,18612,17912,16119,17887,21064,22214,24854,24312,20684,17049,18492,14177,11593,10224,8228,5086,2729
England and Wales District,E09000007,Camden,220338,13168,10898,9594,12523,21863,25923,24427,19169,15977,13244,10958,9362,9255,7306,5631,4442,3455,2048,1095
England and Wales District,E09000008,Croydon,363378,27972,23096,23130,23566,23591,27692,28642,26693,27104,28528,23071,18889,17029,12587,10568,8920,6398,3881,2021
England and Wales District,E09000009,Ealing,338449,25426,20385,19043,18673,24552,33998,33577,28371,25498,22877,19007,16619,14196,10387,9032,7268,4884,3023,1633
England and Wales District,E09000010,Enfield,312466,24513,20930,20305,20511,21726,24957,24129,22210,23846,22897,18969,14988,13652,11164,9228,7620,5539,3449,1833
England and Wales District,E09000011,Greenwich,254557,20945,16325,14984,16061,19987,22113,25213,21254,19118,17134,14052,11083,10172,7495,6180,4939,3753,2452,1297
England and Wales District,E09000012,Hackney,246270,19149,15360,13878,13410,21685,33838,30077,21335,17393,15098,11525,8856,7271,5303,4370,3430,2345,1324,623
England and Wales District,E09000013,Hammersmith and Fulham,182493,11900,8559,7621,7916,17279,26021,22008,17182,13669,11414,8703,7131,6677,5011,4091,3035,2265,1297,714
England and Wales District,E09000014,Haringey,254926,18112,15775,15234,14253,18835,28062,28539,22684,20135,17656,13416,10613,9243,6680,5895,4506,2867,1576,845
England and Wales District,E09000015,Harrow,239056,15916,14421,14590,15104,16066,19345,19608,17112,16638,16338,15157,13084,12010,9372,8048,6726,4933,2982,1606
England and Wales District,E09000016,Havering,237232,13661,13230,14365,15358,14976,14662,14484,14734,17071,17659,16520,13674,14561,11053,9508,8719,6941,4196,1860
England and Wales District,E09000017,Hillingdon,273936,19704,16915,16877,19033,21934,20878,21507,20012,19679,19341,16567,13525,12786,9635,8426,7246,5179,3036,1656
England and Wales District,E09000018,Hounslow,253957,19725,14899,13945,14677,18612,26231,25465,21144,18144,16704,14502,12205,10845,7916,6676,5297,3685,2220,1065
England and Wales District,E09000019,Islington,206125,12289,9583,9118,10800,20453,29744,24867,17490,15076,13367,10173,7901,7228,5395,4490,3478,2542,1443,688
England and Wales District,E09000020,Kensington and Chelsea,158649,9189,7614,6442,6475,11322,16602,18345,14400,12432,11376,9475,7686,8176,6271,4657,3262,2458,1539,928
England and Wales District,E09000021,Kingston upon Thames,160060,10964,8966,8541,9864,13505,12358,13356,13407,12157,11126,9504,7972,7982,5694,4547,3753,3022,2136,1206
England and Wales District,E09000022,Lambeth,303086,20701,16376,14754,14058,26702,43135,37005,27198,23088,20897,15601,11372,9012,6623,5994,4438,3287,1936,909
England and Wales District,E09000023,Lewisham,275885,22004,16665,15268,16127,20883,26465,28663,24213,21919,20481,15750,11523,9789,7284,6357,5113,3900,2271,1210
England and Wales District,E09000024,Merton,199693,14830,11407,10474,10409,12452,19877,20904,17255,15504,14039,11294,9349,8777,6374,5506,4524,3441,2105,1172
England and Wales District,E09000025,Newham,307984,25384,20834,19587,20411,32586,40437,31895,23485,21222,17479,14731,10807,8533,5992,5469,4055,2741,1567,769
England and Wales District,E09000026,Redbridge,278970,21666,18924,18579,17937,18894,23814,23935,20642,19654,18561,16456,13945,12578,9165,7652,6449,5104,3225,1790
England and Wales District,E09000027,Richmond upon Thames,186990,14038,11107,9827,9085,9145,12546,16026,17433,15937,14536,11805,10067,10142,7406,5617,4525,3709,2503,1536
England and Wales District,E09000028,Southwark,288283,20739,15562,14097,15966,26996,35725,32297,25299,22926,20121,16070,11084,9072,6547,5432,4271,3195,1949,935
England and Wales District,E09000029,Sutton,190146,12750,11095,11673,11487,10657,13185,14303,14737,15413,14928,12274,10045,10366,7563,6222,5345,4103,2637,1363
England and Wales District,E09000030,Tower Hamlets,254096,18750,15531,13202,14623,30818,40157,33028,21539,15678,11778,9736,7823,5863,4140,4029,3204,2407,1256,534
England and Wales District,E09000031,Waltham Forest,258249,20839,16463,14760,15241,20604,26508,24168,21112,20243,17340,14321,11301,9783,7231,6182,4967,3662,2267,1257
England and Wales District,E09000032,Wandsworth,306995,21670,14574,12521,12403,23699,47217,41740,29521,22542,18100,14088,11351,10658,7710,6745,5126,3637,2355,1338
England and Wales District,E09000033,Westminster,219396,12617,9726,8665,9997,17490,27498,26721,20677,16716,13990,11582,9998,9205,7190,6017,4786,3421,2042,1058
England and Wales District,E06000001,Hartlepool,92028,5698,5192,5653,6278,5955,5622,5033,5373,6463,7267,6464,5595,5837,4236,3938,3327,2241,1323,533
England and Wales District,E06000002,Middlesbrough,138412,9431,8276,8485,10064,11690,9765,8295,8135,8984,9899,9233,7933,7531,5680,5153,4278,3115,1658,807
England and Wales District,E06000003,Redcar and Cleveland,135177,7553,7098,7803,8835,8092,7628,6987,7654,9479,10398,9429,8458,9511,7776,6642,5017,3704,2133,980
England and Wales District,E06000004,Stockton-on-Tees,191610,12322,10973,11457,12819,12651,12602,11445,12003,14087,14644,13399,11609,11648,8745,7357,6089,4279,2429,1052
England and Wales District,E06000005,Darlington,105564,6579,6074,6224,6408,6071,6607,6429,6847,7641,7994,7258,6308,6685,5205,4512,3526,2646,1740,810
England and Wales District,E06000006,Halton,125746,8354,7383,7577,8082,8024,8141,7666,8304,9034,9280,8768,8144,8508,5765,4605,3600,2532,1349,630
England and Wales District,E06000007,Warrington,202228,12309,11555,12296,12507,12088,12503,12185,14120,16022,16591,13569,11828,12441,9980,8218,6007,4287,2498,1224
England and Wales District,E06000008,Blackburn with Darwen,147489,11278,10478,10322,10218,9718,10951,9907,10137,10818,9901,8934,7882,7884,5689,4667,3659,2701,1547,798
England and Wales District,E06000009,Blackpool,142065,8218,7436,8052,8648,8529,8580,7756,8609,10489,11025,9654,8415,9415,7729,6624,5238,3910,2431,1307
England and Wales District,E06000010,"Kingston upon Hull, City of",256406,17358,13974,13944,17416,24040,20274,17303,17229,17576,18022,15949,13746,13844,9635,8666,7322,5466,3166,1476
England and Wales District,E06000011,East Riding of Yorkshire,334179,16400,16630,18625,20396,15779,15073,15931,20033,24381,26056,23938,22412,27070,21068,17648,13951,9769,5947,3072
England and Wales District,E06000012,North East Lincolnshire,159616,10005,8966,9264,10271,10521,9987,8703,9769,11330,11973,10683,9621,10236,7815,6918,5712,4101,2469,1272
England and Wales District,E06000013,North Lincolnshire,167446,10282,9377,9550,10155,9522,9969,9114,10180,12373,12862,11649,10922,11452,9017,7246,5771,4241,2542,1222
England and Wales District,E06000014,York,198051,10677,9348,9712,14097,19746,14159,12552,12510,13756,13697,12017,10649,11716,9122,7807,6589,5040,3200,1657
England and Wales District,E06000015,Derby,248752,17743,14983,14857,16728,20069,18211,16563,16723,18012,17620,14612,12376,12586,10169,8715,7568,5972,3564,1681
England and Wales District,E06000016,Leicester,329839,24297,20780,20162,24490,35406,29571,25272,21955,20940,20240,18953,16501,14056,9977,8911,7321,5615,3605,1787
England and Wales District,E06000017,Rutland,37369,1854,1850,2352,2895,1740,1907,1855,2145,2686,2642,2517,2362,2715,2331,1887,1436,1094,719,382
England and Wales District,E06000018,Nottingham,305680,19959,16429,15860,27059,42766,26232,22433,19441,19645,18502,15772,13404,12626,9313,8207,7181,5696,3529,1626
England and Wales District,E06000019,"Herefordshire, County of",183477,9580,9180,10494,10684,9431,9681,9606,10411,12832,14020,12677,12261,13604,11418,9078,7559,5637,3535,1789
England and Wales District,E06000020,Telford and Wrekin,166641,11344,10007,10594,11496,10863,10888,10334,11145,12850,12653,10502,9866,10010,7934,5994,4439,3042,1771,909
England and Wales District,E06000021,Stoke-on-Trent,249008,17092,14189,14260,16035,19089,18156,15829,16113,17810,17353,15534,14009,14721,11616,9368,7480,5639,3296,1419
England and Wales District,E06000022,Bath and North East Somerset,176016,9238,8700,9568,13282,15995,10141,9478,10726,12196,12824,11115,10134,10802,8803,7125,6041,4940,3249,1659
England and Wales District,E06000023,"Bristol, City of",428234,29633,22837,21703,27041,44371,40752,36418,30435,28307,27076,23319,20392,20078,15222,12503,10697,8538,5798,3114
England and Wales District,E06000024,North Somerset,202566,11653,11024,11579,11326,9491,10363,10691,12598,14997,15404,13428,12725,14654,12468,9603,7921,6122,4175,2344
England and Wales District,E06000025,South Gloucestershire,262767,15925,14608,15858,17599,15458,15606,15863,17402,20709,21310,17270,15002,15748,13465,10575,8749,6086,3648,1886
England and Wales District,E06000026,Plymouth,256384,15336,12947,13645,17804,24343,18888,15402,15537,17723,17582,16367,13955,15140,12156,9843,8120,5978,3639,1979
England and Wales District,E06000027,Torbay,130959,6690,6277,7092,7569,6779,6700,6140,7060,8855,9547,8809,8418,10169,8594,6970,5804,4415,3190,1881
England and Wales District,E06000028,Bournemouth,183491,10275,7861,8399,11390,17130,14935,14309,12392,12369,12284,10361,9285,10190,8048,6613,6149,5355,3834,2312
England and Wales District,E06000029,Poole,147645,8450,7583,7924,8620,8180,8712,8835,9331,10689,11078,9486,8771,9828,8011,6552,5808,4868,3167,1752
England and Wales District,E06000030,Swindon,209156,14083,12273,12433,12424,12859,15075,15172,16297,16869,16371,13822,11634,10990,8453,6707,5633,4266,2616,1179
England and Wales District,E06000031,Peterborough,183631,13904,11424,11349,11498,12502,15046,14112,12914,13289,12677,11014,9642,9382,6909,5792,5026,3803,2258,1090
England and Wales District,E06000032,Luton,203201,16592,14221,13211,13561,16621,18812,16064,14066,13796,13538,11225,9267,8346,6542,6102,5032,3408,1877,920
England and Wales District,E06000033,Southend-on-Sea,173658,11213,9498,10194,10184,9832,11282,11623,12223,13083,12755,10887,9667,10419,8468,6716,5779,4769,3223,1843
England and Wales District,E06000034,Thurrock,157705,12005,10231,9949,9853,9804,11162,11808,12200,12558,11535,9453,8387,8739,5996,4742,3784,2873,1844,782
