Latitude, Aircraft.Damage, Longitude
33, 2, -4
44.094444, 2, -6
57.938055, 2, -7
65.051944, 2, -7
29.166667, 2, -4
38.786389, 2, -5
35.020834, 3, -5
-7.368056, 2, -2
35.189722, 2, -5
-0.511111, 2, 7
38.309167, 2, -3
40.863611, 2, -3
37.968889, 3, -6
60.3325, 2, -8
37.324445, 3, -4
39.695277, 2, -5
37.738611, 1, -4
35.214167, 1, -4
40.925556, 2, -5
47.966667, 2, -5
44.253889, 2, -6
40.776667, 2, -3
58.666667, 2, -7
31.389722, 2, 5
39.163611, 2, -3
44.929167, 2, -3
64.107222, 2, -7
41.734722, 2, -4
32.930556, 2, -4
41.281667, 2, -4
35.823611, 2, -4
36.184722, 3, -5
60.906111, 2, -7
30.734444, 2, -5
42.673334, 2, -5
39.145833, 2, -4
40.985277, 3, -3
61.186944, 2, -7
30.419723, 2, -4
17.5925, 2, -3
26.378889, 2, -4
41.728889, 2, -6
26.234444, 2, -4
43.633611, 2, -5
35.913333, 2, -3
42.917223, 2, -5
61.637777, 2, -7
38.304722, 2, -6
36.853611, 2, -3
39.679167, 2, -4
45.627778, 2, -6
35.24, 2, -3
44.159722, 2, -4
45.516667, 2, -6
39.216111, 2, -3
44.895, 2, -4
34.263889, 2, -5
46.971945, 2, -6
44.0625, 2, -6
35.935833, 3, -4
40.587777, 3, -5
33.351111, 2, -5
33.354444, 3, -4
35.019723, 2, -3
48.259444, 2, -6
40.619445, 2, -5
27.890277, 2, -4
45.348889, 2, -6
42.19, 2, -6
4.243055, 2, -3
35.835277, 2, -4
37.861667, 2, -6
27.813333, 2, -4
29.49, 2, -4
41.0725, 2, -5
30.913056, 2, -4
33.8075, 3, -5
37.635277, 3, -6
61.148055, 2, -7
30.642777, 2, -4
46.026945, 3, -6
35.073056, 2, -3
30.601389, 2, -4
28.0575, 2, -4
34.91, 2, -5
48.621667, 2, -6
38.541389, 2, -3
63.316667, 2, -7
37.897222, 2, -6
29.0175, 2, -4
30.784444, 2, -4
41.138333, 1, 1
37.763611, 2, -6
26.676945, 2, -4
44.975556, 1, -4
